"Title","Explosive_List_Corrected","Year","Country"
"13 C ANALYSIS TO SCREEN OUT EXPLOSIVE PRECURSORS BY USING CAVITY RING DOWN LASER SPECTROSCOPY","",2018,"Italy"
"13C AND 15N NMR IDENTIFICATION OF PRODUCT COMPOUND CLASSES FROM AQUEOUS AND SOLID PHASE PHOTODEGRADATION OF 2 4 6 TRINITROTOLUENE","2,4,6-Trinitrotoluene (TNT);Dinitrotoluene (DNT)",2019,"USA"
"14N NQR RELAXATION AND MOLECULAR DYNAMICS OF THE EXPLOSIVE TNT","2,4,6-Trinitrotoluene (TNT)",2015,"UK"
"14N QUADRUPOLE RESONANCE AND 1H T1 DISPERSION IN THE EXPLOSIVE RDX","Cyclotrimethylene-Trinitramine (RDX)",2011,"UK,Germany,USA"
"1D PLANE NUMERICAL MODEL FOR BOILING LIQUID EXPANDING VAPOR EXPLOSION BLEVE","2,4,6-Trinitrotoluene (TNT);",2007,"Israel"
"2 2 BIS 5 TETRAZOLYL PROPANE AS LIGAND IN ENERGETIC 3D TRANSITION METAL COMPLEXES","",2019,"Germany"
"2 4 6 TRIAMINO 1 3 5 TRINITROBENZENE TATB AND TATB BASED FORMULATIONS A REVIEW","1,3,5-Triamino-2,4,6-Trinitrobenzene (TATB);1,3,5-Trinitrobenzene (TNB)",2010,"USA"
"2 4 6 TRINITROTOLUENE MINERALIZATION AND BACTERIAL PRODUCTION RATES OF NATURAL MICROBIAL ASSEMBLAGES FROM COASTAL SEDIMENTS","2,4,6-Trinitrotoluene (TNT)",2011,"USA"
"2 4 6 TRINITROTOLUENE REDUCTION KINETICS IN AQUEOUS SOLUTION USING NANOSCALE ZERO VALENT IRON","2,4,6-Trinitrotoluene (TNT)",2009,"China"
"2 4 6 TRINITROTOLUENE TNT AIR CONCENTRATIONS HEMOGLOBIN CHANGES AND ANEMIA CASES IN RESPIRATOR PROTECTED TNT MUNITIONS DEMILITARIZATION WORKERS","2,4,6-Trinitrotoluene (TNT);Dinitrotoluene (DNT)",2011,"USA"
"2 FLUORO 1 3 DIAMINO 4 6 DINITROBENZENE ZXC 7 AND 2 FLUORO 1 3 5 TRIAMINO 4 6 DINITROBENZENE ZXC 8 THERMALLY STABLE EXPLOSIVES WITH OUTSTANDING PROPERTIES","1,3,5-Triamino-2,4,6-Trinitrobenzene (TATB);Dinitrobenzene (DNB)",2019,"China"
"2 FOLD INTERPENETRATING BIFUNCTIONAL CD METAL ORGANIC FRAMEWORKS HIGHLY SELECTIVE ADSORPTION FOR CO2 AND SENSITIVE LUMINESCENT SENSING OF NITRO AROMATIC 2 4 6 TRINITROPHENOL","Picric Acid (PA)",2017,"China"
"228 NM QUADRUPLED QUASI THREE LEVEL ND GDVO4 LASER FOR ULTRAVIOLET RESONANCE RAMAN SPECTROSCOPY OF EXPLOSIVES AND BIOLOGICAL MOLECULES","",2020,"USA,China"
"2P OR NOT 2P TUPPENCE BASED SERS FOR THE DETECTION OF ILLICIT MATERIALS","",2013,"UK"
"3 5 DIFLUORO 2 4 6 TRINITROANISOLE PROMISING MELT CAST INSENSITIVE EXPLOSIVES INSTEAD OF TNT","2,4-Dinitroanisole (DNAN);2,4,6-Trinitrotoluene (TNT);Trinitroanisole",2022,"China"
"3 AMINOPROPYLTRIETHOXYSILANE FUNCTIONALIZED MANGANESE DOPED ZNS QUANTUM DOTS FOR ROOM TEMPERATURE PHOSPHORESCENCE SENSING ULTRATRACE 2 4 6 TRINITROTOLUENE IN AQUEOUS SOLUTION","2,4,6-Trinitrotoluene (TNT)",2011,"China"
"3 NITRAMINO 6 HYDROXY 1 2 4 5 TETRAZINE AND ITS ALKALINE EARTH METAL SALTS AN EFFECTIVE STRATEGY TO BALANCE ENERGY DENSITY AND SAFETY OF ENERGETIC COMPOUNDS","",2021,"China"
"3D PRINTED ELECTRODES FOR DETECTION OF NITROAROMATIC EXPLOSIVES AND NERVE AGENTS","2,4-Dinitrotoluene (DNT);2,4,6-Trinitrotoluene (TNT);Dinitrotoluene (DNT);",2017,"Singapore"
"3D PRINTED FLEXIBLE DEVICE COMBINING SAMPLING AND DETECTION OF EXPLOSIVES","2,4,6-Trinitrotoluene (TNT);",2019,"Brazil"
"3D PRINTING OF RDX BASED ALUMINIZED HIGH EXPLOSIVES WITH GRADIENT STRUCTURE SIGNIFICANTLY ALTERING THE CRITICAL DIMENSIONS","Cyclotrimethylene-Trinitramine (RDX)",2021,"China"
"3D PRINTING PEN VERSUS DESKTOP 3D PRINTERS FABRICATION OF CARBON BLACK POLYLACTIC ACID ELECTRODES FOR SINGLE DROP DETECTION OF 2 4 6 TRINITROTOLUENE","2,4,6-Trinitrotoluene (TNT)",2020,"Brazil"
"3D SPECTRAL FLUORESCENCE SIGNATURE OF CERIUM III MELAMINE COORDINATION POLYMER A NOVEL SENSING MATERIAL FOR EXPLOSIVE DETECTION","2,4,6-Trinitrotoluene (TNT);",2021,"Egypt"
"3D WHOLE BODY IMAGING FOR DETECTING EXPLOSIVE RELATED THREATS","",2012,"Spain,USA"
"4 AMINO 1 BUTYL 1 2 4 TRIAZOLIUM NITRATE SYNTHESIS AND CHARACTERIZATION","Nitromethane (NM);",2019,"Germany"
"4D MICRO SCALE PHASE CONTRAST X RAY IMAGING AND COMPUTED TOMOGRAPHY OF HMX BASED POLYMER BONDED EXPLOSIVES DURING THERMAL RUNAWAY","Cyclotetramethylene-Tetranitramine (HMX)",2021,"USA,UK"
"5 5 6 6 TETRANITRO 2 2 BIBENZIMIDAZOLE A THERMALLY STABLE AND INSENSITIVE ENERGETIC COMPOUND","1,3,5-Trinitrobenzene (TNB);2,4,6-Trinitrotoluene (TNT);",2018,"Poland"
"8TH INTERNATIONAL SYMPOSIUM ON THE ANALYSIS AND DETECTION OF EXPLOSIVES","",2004,NA
"A 2D BILAYERED METAL ORGANIC FRAMEWORK AS A FLUORESCENT SENSOR FOR HIGHLY SELECTIVE SENSING OF NITRO EXPLOSIVES","Nitrotoluene (NT);Picric Acid (PA);",2015,"China"
"A 2D COORDINATION NETWORK HAT DETECTS NITRO EXPLOSIVES IN WATER CATALYZES BAYLIS HILLMAN REACTIONS AND UNDERGOES UNUSUAL 2D 3D SINGLE CRYSTAL TO SINGLE CRYSTAL TRANSFORMATION","",2017,NA
"A 3D PILLARED LAYER METAL ORGANIC FRAMEWORK WITH FLUORESCENCE PROPERTY FOR DETECTION OF NITROAROMATIC EXPLOSIVES","Dinitrobenzene (DNB);Nitrotoluene (NT);Picric Acid (PA);",2019,"China"
"A B3LYP AND MP2 FULL THEORETICAL INVESTIGATION INTO EXPLOSIVE SENSITIVITY UPON THE FORMATION OF THE INTERMOLECULAR HYDROGEN BONDING INTERACTION BETWEEN THE NITRO GROUP OF RNO 2 R CH 3 NH 2 OCH 3 AND HF HCL OR HBR","",2012,"China"
"A B3LYP AND MP2 FULL THEORETICAL INVESTIGATION INTO EXPLOSIVE SENSITIVITY UPON THE FORMATION OF THE MOLECULE CATION INTERACTION BETWEEN THE NITRO GROUP OF 3 4 DINITROPYRAZOLE AND H LI NA BE 2 OR MG 2 SHAN DU","",2012,"China"
"A B3LYP AND MP2 FULL THEORETICAL INVESTIGATION INTO THE STRENGTH OF THE C NO2 BOND UPON THE FORMATION OF THE MOLECULE CATION INTERACTION BETWEEN NA AND THE NITRO GROUP OF NITROTRIAZOLE OR ITS METHYL DERIVATIVES","",2013,"China"
"A BETTER WAY TO FIGHT IEDS","",2012,"USA"
"A BI FUNCTIONAL LUMINESCENT ZN II MOF FOR DETECTION OF NITROAROMATIC EXPLOSIVES AND FE3 IONS","",2018,"China"
"A BIFUNCTIONAL LUMINESCENT COORDINATION POLYMER AS RECYCLABLE SENSOR FOR DETECTING TNP AND FE3 WITH HIGH SELECTIVITY AND SENSITIVITY","Picric Acid (PA)",2019,"China"
"A BIFUNCTIONAL ZN II MOF AS RECYCLABLE LUMINESCENT SENSOR FOR DETECTING TNT AND FE3 WITH HIGH SELECTIVITY AND SENSITIVITY","2,4,6-Trinitrotoluene (TNT)",2018,"China"
"A BROADLY TUNED MOUSE ODORANT RECEPTOR THAT DETECTS NITROTOLUENES","2,4,6-Trinitrotoluene (TNT);Nitrotoluene (NT)",2012,"USA"
"A BUILT IN SELF CALIBRATING LUMINESCENCE SENSOR BASED ON RHB ZR MOF FOR DETECTION OF CATIONS NITRO EXPLOSIVES AND PESTICIDES","",2020,"China"
"A CASE OF DEATH FROM THE EXPLOSION OF A 66 MM M72 HIGH EXPLOSIVE ANTI TANK ROCKET","",2008,"Japan"
"A CASE OF FRONTAL NEUROPSYCHOLOGICAL AND NEUROIMAGING SIGNS FOLLOWING MULTIPLE PRIMARY BLAST EXPOSURE","",2012,"USA"
"A CASE STUDY IN FORENSIC CHEMISTRY THE BALI BOMBINGS","",2005,"Australia"
"A CATIONIC IRIDIUM III COMPLEX WITH AGGREGATION INDUCED EMISSION AIE PROPERTIES FOR HIGHLY SELECTIVE DETECTION OF EXPLOSIVES","Picric Acid (PA);",2014,"China"
"A CHIRAL ZINC II METAL ORGANIC FRAMEWORK AS HIGH SELECTIVE LUMINESCENT SENSOR FOR DETECTING TRACE NITRO EXPLOSIVES PICRIC ACID AND FE3 ION","Camphor;Picric Acid (PA)",2019,"China"
"A CHLORIDE ANION INSENSITIVE COLORIMETRIC CHEMOSENSOR FOR TRINITROBENZENE AND PICRIC ACID","1,3,5-Trinitrobenzene (TNB);2,4,6-Trinitrotoluene (TNT);Picric Acid (PA)",2009,"USA,Denmark"
"A CHRISTMAS DAY BOMBING ATTEMPT NW FLIGHT 253","",2010,NA
"A COLORIMETRIC AND FLUORESCENT CHEMOSENSOR FOR THE DETECTION OF AN EXPLOSIVE 2 4 6 TRINITROPHENOL TNP","Picric Acid (PA)",2011,"China"
"A COLORIMETRIC ARTIFICIAL OLFACTORY SYSTEM FOR AIRBORNE IMPROVISED EXPLOSIVE IDENTIFICATION","",2020,"China"
"A COLORIMETRIC RECEPTOR COMBINED WITH A MICROCANTILEVER SENSOR FOR EXPLOSIVE VAPOR DETECTION","",2011,"USA,Netherlands"
"A COLORIMETRIC SENSOR ARRAY FOR DETECTION OF TRIACETONE TRIPEROXIDE VAPOR","Triacetone Triperoxide (TATP)",2010,"USA"
"A COLORIMETRIC SENSOR BASED ON ANODIZED ALUMINUM OXIDE AAO SUBSTRATE FOR THE DETECTION OF NITROAROMATICS","2,4,6-Trinitrotoluene (TNT);",2011,"USA"
"A COMBINED MULTI MATERIAL EULER LAGRANGE COMPUTATIONAL ANALYSIS OF BLAST LOADING RESULTING FROM DETONATION OF BURIED LANDMINES","2,4,6-Trinitrotoluene (TNT);",2008,"USA"
"A COMBINED STUDY OF TEM EDS XPS AND MOLECULAR MODELING ON THE AGING OF THPP ZPP AND BKNO3 EXPLOSIVE CHARGES IN PMDS UNDER ACCELERATED AGING CONDITIONS",";Potassium Nitrate;Potassium Perchlorate",2019,"Korea South"
"A COMPACT HIGH RESOLUTION X RAY ION MOBILITY SPECTROMETER","",2016,"Germany"
"A COMPARATIVE STUDY OF PERFORMANCE BETWEEN TKX 50 BASED COMPOSITE EXPLOSIVES AND OTHER COMPOSITE EXPLOSIVES","2,4,6-Trinitrotoluene (TNT);3-Nitro-1,2,4-Triazol-5-One (NTO);5,5-Bistetrazole-1,1-Diolate (TKX-50);Cyclotetramethylene-Tetranitramine (HMX);Cyclotrimethylene-Trinitramine (RDX);Nitrotoluene (NT)",2019,"China"
"A COMPARATIVE STUDY OF THERMAL STABILITY OF TNT RDX CL20 AND ANTA EXPLOSIVES USING UV 266 NM TIME RESOLVED PHOTOACOUSTIC PYROLYSIS TECHNIQUE","2,4,6-Trinitrotoluene (TNT);Cyclotrimethylene-Trinitramine (RDX);Hexanitrohexaazaisowurtzitane (CL-20)",2019,"India,Yemen"
"A COMPARATIVE THEORETICAL INVESTIGATION INTO THE STRENGTH OF THE TRIGGER BOND IN THE NA MG2 AND HF COMPLEXES INVOLVING THE NITRO GROUP OF R NO2 R CH3 NH2 AND OCH3 OR THE C C BOND OF E O2N CH CH NO2","",2013,"China"
"A COMPARATIVE THEORETICAL STUDY OF PICRIC ACID AND ITS COCRYSTALS","Picric Acid (PA)",2015,"China"
"A COMPARISON OF COMMON SWABBING MATERIALS FOR THE RECOVERY OF ORGANIC AND INORGANIC EXPLOSIVE RESIDUES","",2013,"Australia"
"A COMPARISON OF FAST INORGANIC SCINTILLATORS FOR THERMAL NEUTRON ANALYSIS LANDMINE DETECTION","Trinitroaniline (TNA);",2009,"Canada"
"A COMPARISON OF NEUTRON BASED NON DESTRUCTIVE ASSESSMENT METHODS FOR CHEMICAL WARFARE MATERIEL AND HIGH EXPLOSIVES","Poly(Glycidyl Nitrate) (polyGLYN);",2009,"USA"
"A COMPARISON OF SMOKELESS POWDERS AND MIXTURES BY CAPILLARY ZONE ELECTROPHORESIS","",2005,"USA"
"A COMPARISON OF SOLVENT EXTRACT CLEANUP PROCEDURES IN THE ANALYSIS OF ORGANIC EXPLOSIVES","",2013,"Australia"
"A COMPREHENSIVE MECHANISM FOR LIQUID PHASE DECOMPOSITION OF 1 3 5 7 TETRANITRO 1 3 5 7 TETRAZOCTANE HMX THERMOLYSIS EXPERIMENTS AND DETAILED KINETIC MODELING","Cyclotetramethylene-Tetranitramine (HMX);Cyclotrimethylene-Trinitramine (RDX)",2020,"USA"
"A COMPREHENSIVE SIMULATION STUDY OF A LIQUID XE DETECTOR FOR CONTRABAND DETECTION","",2015,"Israel,USA"
"A COMPUTATIONAL ANALYSIS OF THE INTERACTION OF LATTICE AND INTRAMOLECULAR VIBRATIONAL MODES IN CRYSTALLINE RDX","Cyclotrimethylene-Trinitramine (RDX)",2008,"USA"
"A COMPUTATIONAL APPROACH TO DESIGN ENERGETIC IONIC LIQUIDS","2,4,6-Trinitrotoluene (TNT);",2013,"India"
"A COMPUTATIONAL INVESTIGATION OF VARIOUS WATER INDUCED EXPLOSION MITIGATION MECHANISMS","",2007,"USA"
"A CRITICAL REVIEW OF ION MOBILITY SPECTROMETRY FOR THE DETECTION OF EXPLOSIVES AND EXPLOSIVE RELATED COMPOUNDS","",2001,"USA"
"A CRITICAL REVIEW OF TNT EQUIVALENCE FACTORS FOR VARIOUS EXPLOSIVES","2,4,6-Trinitrotoluene (TNT)",2021,"India"
"A CROWD BASED EXPLOSIVE DETECTION SYSTEM WITH TWO LEVEL FEEDBACK SENSOR CALIBRATION","",2020,"USA"
"A DECADE OF POROUS SILICON AS NANO EXPLOSIVE MATERIAL","",2014,"South Africa"
"A DECISION SUPPORT METHODOLOGY WITH RISK ASSESSMENT ON PREDICTION OF TERRORISM INSURGENCY DISTRIBUTION RANGE RADIUS AND ELAPSING TIME AN EMPIRICAL CASE STUDY IN THAILAND","",2014,"Thailand"
"A DEFECT INSPECTION FOR EXPLOSIVE CARTRIDGE USING AN IMPROVED VISUAL ATTENTION AND IMAGE WEIGHTED EIGENVALUE","",2020,"China"
"A DENSE PLASMA FOCUS BASED NEUTRON SOURCE FOR A SINGLE SHOT DETECTION OF ILLICIT MATERIALS AND EXPLOSIVES BY A NANOSECOND NEUTRON PULSE","",2010,"Russia,Poland"
"A DEVICE FOR TESTING THERMAL IMPACT SENSITIVITY OF HIGH EXPLOSIVES","Cyclotetramethylene-Tetranitramine (HMX);Pentaerythritol Tetranitrate (PETN);Silver Azide;Triacetone Triperoxide (TATP);",2010,"USA"
"A DFT STUDY OF BOND DISSOCIATION ENERGIES OF SEVERAL ALKYL NITRATE AND NITRITE COMPOUNDS","",2008,"China,USA"
"A DFT THEORETICAL STUDY OF HEATS OF FORMATION AND DETONATION PROPERTIES OF NITROGEN RICH EXPLOSIVES","",2010,"Canada"
"A DIGITALLY PRINTED OPTOELECTRONIC NOSE FOR THE SELECTIVE TRACE DETECTION OF NITROAROMATIC EXPLOSIVE VAPOURS USING FLUORESCENCE QUENCHING","2,4-Dinitrotoluene (DNT);Dinitrobenzene (DNB);Dinitrotoluene (DNT);",2017,"Germany"
"A DSC ANALYSIS OF INVERSE SALT PAIR EXPLOSIVE COMPOSITION","Ammonium Chloride;Potassium Nitrate;",2004,"India"
"A DUAL FUNCTIONAL COTTON SWAB SENSOR FOR RAPID ON SITE NAKED EYE SENSING OF NITRO EXPLOSIVES ON SURFACES","2,4,6-Trinitrotoluene (TNT);Hexanitrostilbene (HNS);Nitroglycerin (NG);",2020,"China"
"A DUAL FUNCTIONAL LUMINESCENT TB III METAL ORGANIC FRAMEWORK FOR THE SELECTIVE SENSING OF ACETONE AND TNP IN WATER","Picric Acid (PA)",2018,"India"
"A DYNAMIC MULTICHANNEL COLORIMETRIC SENSOR ARRAY FOR HIGHLY EFFECTIVE DISCRIMINATION OF TEN EXPLOSIVES","2,4-Dinitrotoluene (DNT);2,6-Diamino-3,5-Dinitropyrazine-1-Oxide (LLM-105);3-Nitro-1,2,4-Triazol-5-One (NTO);Cyclotrimethylene-Trinitramine (RDX);Dinitrotoluene (DNT);Hexanitrohexaazaisowurtzitane (CL-20);Picric Acid (PA);",2019,"China"
"A EU DOPED Y BASED LUMINESCENT METAL ORGANIC FRAMEWORK AS A HIGHLY EFFICIENT SENSOR FOR NITROAROMATIC EXPLOSIVES","2,4-Dinitrotoluene (DNT);Dinitrobenzene (DNB);Dinitrotoluene (DNT);Nitrotoluene (NT);Picric Acid (PA);",2015,"India"
"A EUROPIUM III BASED NANO FLAKE MOF FILM FOR EFFICIENT FLUORESCENT SENSING OF PICRIC ACID","Picric Acid (PA)",2017,"China"
"A FACILE AND SENSITIVE FLUORESCENT SENSOR USING ELECTROSPUN NANOFIBROUS FILM FOR NITROAROMATIC EXPLOSIVE DETECTION","2,4,6-Trinitrotoluene (TNT);Picric Acid (PA);",2011,"China"
"A FACILE FABRICATION OF ELECTRODEPOSITED LUMINESCENT MOF THIN FILMS FOR SELECTIVE AND RECYCLABLE SENSING OF NITROAROMATIC EXPLOSIVES","Picric Acid (PA);",2016,"China"
"A FACILE STRATEGY APPLIED TO SIMULTANEOUS QUALITATIVE DETECTION ON MULTIPLE COMPONENTS OF MIXTURE SAMPLES A JOINT STUDY OF INFRARED SPECTROSCOPY AND MULTI LABEL ALGORITHMS ON PBX EXPLOSIVES","1,3,5-Triamino-2,4,6-Trinitrobenzene (TATB);1,3,5-Trinitrobenzene (TNB);2,4,6-Trinitrotoluene (TNT);Cyclotetramethylene-Tetranitramine (HMX);Cyclotrimethylene-Trinitramine (RDX);",2016,"China"
"A FAST METHOD FOR MONITORING OF ORGANIC EXPLOSIVES IN SOIL A GAS TEMPERATURE GRADIENT APPROACH IN LC APCI MS MS","2,4,6-Trinitrotoluene (TNT);Ammonium Nitrate (AN);Cyclotetramethylene-Tetranitramine (HMX);Cyclotrimethylene-Trinitramine (RDX);Dinitrotoluene (DNT);Nitroglycerin (NG);Pentaerythritol Tetranitrate (PETN);Picric Acid (PA);Tetryl;Trimethylolethane Trinitrate (TMETN);",2017,"Turkey"
"A FAST PULSED NEUTRON SOURCE FOR TIME OF FLIGHT DETECTION OF NUCLEAR MATERIALS AND EXPLOSIVES","",2011,"USA"
"A FEASIBILITY STUDY ON THE USE OF DOUBLE SIDED ADHESIVE COATED STUBS FOR SAMPLING OF EXPLOSIVE TRACES FROM HANDS","2,4-Dinitrotoluene (DNT);2,4,6-Trinitrotoluene (TNT);Cyclotrimethylene-Trinitramine (RDX);Dinitrotoluene (DNT);Nitroglycerin (NG);Pentaerythritol Tetranitrate (PETN);",2009,"Israel"
"A FEATURE ON ENSURING SAFETY OF SUPERFINE EXPLOSIVES THE SIMILAR THERMOLYSIS CHARACTERISTICS BETWEEN MICRO AND NANO NITROAMINES","Cyclotetramethylene-Tetranitramine (HMX);Cyclotrimethylene-Trinitramine (RDX);",2013,"China"
"A FIELD APPLICABLE COLORIMETRIC ASSAY FOR NOTORIOUS EXPLOSIVE TRIACETONE TRIPEROXIDE THROUGH NANOZYME CATALYZED IRREVERSIBLE OXIDATION OF 3 3 DIAMINOBENZIDINE","Triacetone Triperoxide (TATP)",2020,"Iran"
"A FIELD DEPLOYED SURFACE PLASMON RESONANCE SPR SENSOR FOR RDX QUANTIFICATION IN ENVIRONMENTAL WATERS","Cyclotrimethylene-Trinitramine (RDX)",2017,"Canada"
"A FIRST SIMULATION ON OPTIMIZING EDS FOR CABIN BAGGAGE SCREENING REGARDING THROUGHPUT","",2016,"Switzerland"
"A FLAG BASED ALGORITHIM FOR EXPLOSIVES DETECTION IN SEA LAND CARGO CONTAINERS USING ACTIVE NEUTRON INTERROGATION","",2012,"USA"
"A FLEXIBLE RAYLEIGH WAVE TRANSDUCER FOR SURFACE CRACKS DETECTION ON HETEROGENEOUS COMPOSITE EXPLOSIVES","",2021,"China"
"A FLEXIBLE TWO FOLD INTERPENETRATED INDIUM MOF EXHIBITING DYNAMIC RESPONSE TO GAS ADSORPTION AND HIGH SENSITIVITY DETECTION OF NITROAROMATIC EXPLOSIVES","",2019,"China"
"A FLUORESCENCE SENSING DETERMINATION OF 2 4 6 TRINITROPHENOL BASED ON CATIONIC WATER SOLUBLE PILLAR 6 ARENE GRAPHENE NANOCOMPOSITE","Picric Acid (PA)",2019,"China"
"A FLUORESCENCE TURN ON MECHANISM TO DETECT HIGH EXPLOSIVES RDX AND PETN","2,4,6-Trinitrotoluene (TNT);Cyclotrimethylene-Trinitramine (RDX);Pentaerythritol Tetranitrate (PETN)",2007,"USA"
"A FLUORESCENT LANTHANIDE ORGANIC FRAMEWORK FOR HIGHLY SENSITIVE DETECTION OF NITROAROMATIC EXPLOSIVES","Picric Acid (PA);",2017,"China"
"A FLUORESCENT METAL ORGANIC FRAMEWORK FOR HIGHLY SELECTIVE DETECTION OF NITRO EXPLOSIVES IN THE AQUEOUS PHASE","",2014,"India"
"A FLUORESCENT POLYMER FILM WITH SELF ASSEMBLED THREE DIMENSIONALLY ORDERED NANOPORES PREPARATION CHARACTERIZATION AND ITS APPLICATION FOR EXPLOSIVES DETECTION","",2014,"USA"
"A FLUORESCENT SENSOR FOR HIGHLY SELECTIVE DETECTION OF NITROAROMATIC EXPLOSIVES BASED ON A 2D EXTREMELY STABLE METAL ORGANIC FRAMEWORK","",2014,"China"
"A FLUORESCENT SENSOR FOR HIGHLY SELECTIVE SENSING OF NITRO EXPLOSIVES AND HG II IONS BASED ON A 3D POROUS LAYER METAL ORGANIC FRAMEWORK","Picric Acid (PA);",2016,"China"
"A FLUORESCENT TITANIUM BASED METAL ORGANIC FRAMEWORK SENSOR FOR NITRO AROMATICS DETECTION","Picric Acid (PA);",2021,"China"
"A FLUORESCENT ZINC PAMOATE COORDINATION POLYMER FOR HIGHLY SELECTIVE SENSING OF 2 4 6 TRINITROPHENOL AND CU2 ION","2,4-Dinitrotoluene (DNT);Dinitrobenzene (DNB);Dinitrotoluene (DNT);Picric Acid (PA)",2015,"China"
"A FLUORESCENT ZIRCONIUM BASED METAL ORGANIC FRAMEWORK FOR SELECTIVE DETECTION OF NITRO EXPLOSIVES AND METAL IONS","Picric Acid (PA);",2017,"China"
"A FUNDAMENTAL STUDY ON THE THERMAL DECOMPOSITION AND COMBUSTION BEHAVIORS OF GUANIDINE NITRATE AND BASIC COPPER NITRATE MIXTURE","Composition A;Guanidine Nitrate",2018,"Japan"
"A GENERAL FRAMEWORK FOR NUMERICAL SIMULATION OF IMPROVISED EXPLOSIVE DEVICE IED DETECTION SCENARIOS USING DENSITY FUNCTIONAL THEORY DFT AND TERAHERTZ THZ SPECTRA","Cyclotetramethylene-Tetranitramine (HMX);",2011,"USA"
"A GENERIC FRAMEWORK FOR LANDMINE DETECTION USING STATISTICAL CLASSIFIER BASED ON IR IMAGES","",2011,NA
"A GRADIENT REVERSED PHASE HPLC PROCEDURE FOR SMOKELESS POWDER COMPARISON","",2002,"USA"
"A HANDHELD EXPLOSIVES DETECTOR BASED ON AMPLIFYING FLUORESCENT POLYMER","",2014,"India,USA"
"A HETEROMETALLIC SODIUM EUROPIUM CLUSTER BASED METAL ORGANIC FRAMEWORK AS A VERSATILE AND WATER STABLE CHEMOSENSOR FOR ANTIBIOTICS AND EXPLOSIVES","",2017,"China,USA"
"A HIGH ASPECT RATIO BIFURCATED 128 MICROCHANNEL MICROFLUIDIC DEVICE FOR ENVIRONMENTAL MONITORING OF EXPLOSIVES","2,4,6-Trinitrotoluene (TNT);",2018,"USA"
"A HISTORICAL AND CURRENT PERSPECTIVE ON PREDICTING THERMAL COOKOFF BEHAVIOR","",2007,"USA"
"A HISTORY OF DETECTION OF EXPLOSIVE DEVICES 1 700 1950","",2020,NA
"A HYBRID ELECTROCHEMICAL COLORIMETRIC SENSING PLATFORM FOR DETECTION OF EXPLOSIVES","",2009,"USA,China"
"A HYBRID NANOSENSOR FOR TNT VAPOR DETECTION","2,4,6-Trinitrotoluene (TNT)",2010,"USA"
"A LABORATORY SYSTEM FOR ELEMENT SPECIFIC HYPERSPECTRAL X RAY IMAGING","",2013,"UK"
"A LIQUID XE DETECTOR FOR CONTRABAND DETECTION","",2014,NA
"A LOW COST PORTABLE OPTICAL EXPLOSIVE VAPOUR SENSOR","",2017,"UK"
"A LOW POWER COMPACT NQR BASED EXPLOSIVE DETECTION SYSTEM","",2014,"USA"
