"","AIKeywords"
"274","FILTER PAPER"
"275","FLEXIBLE SENSOR"
"276","POLYANILINE"
"277","SPRAYING"
"278","CARBON DOTS"
"279","RATIOMETRIC PROBE"
"280","BACTERIAL DIVERSITY"
"281","EXPLOSIVE CONTAMINATION"
"282","SOIL METABOLIC GROUP"
"283","SOIL TOXICOLOGY"
"284","ALUMINIZED EXPLOSIVES"
"285","CORE-SHELL"
"286","DETONATION PERFORMANCE"
"287","ENERGY RELEASE"
"288","MECHANICAL PROPERTIES"
"289","INORGANIC EXPLOSIVES"
"290","ON-SITE DETECTION"
"291","SPONGE"
"292","COLORIMETRIC SENSOR"
"293","HYDROGEN PEROXIDE"
"294","REFLECTANCE SPECTROSCOPY"
"295","TITANIUM DIOXIDE NANOPARTICLES (TIO2NPS)"
"296","TRIACETONE TRIPEROXIDE (TATP)"
"297","CONJUGATED MICROPOROUS POLYMERS"
"298","DETECTION OF NITROAROMATIC"
"299","METHANOL ADSORPTION"
"300","SWELLABILITY"
"301","CONTINUOUS PREPARATION"
"302","HEXANITROSTILBENE"
"303","MICRO/NANO HIERARCHICAL STRUCTURE"
"304","MICROFLUIDICS"
"305","SPHEROIDIZATION"
"306","ENERGETIC MATERIAL"
"307","SYNTHETIC METHODS"
"308","TETRAZOLE DERIVATIVES"
"309","TETRAZOLES BRIDGED WITH TETRAZOLE OR OTHER RINGS"
"310","EXPLOSIVE DEGRADATION"
"311","LIGHT-DRIVEN"
"312","VERTICALLY ALIGNED ARRAYS"
"313","ZNO"
"314","CLUSTER ASSEMBLED MATERIALS"
"315","COPPER AZIDE"
"316","COPPER CLUSTER"
"317","MICRO-INITIATING DEVICE"
"318","PRIMARY EXPLOSIVES"
"319","BALL DROP"
"320","IMPACT SENSITIVITY"
"321","PROBIT METHOD"
"322","SAFETY"
"323","COUPLED PLASMON RESONANCE"
"324","FLEXIBLE SUBSTRATE"
"325","MEISENHEIMER COMPLEX"
"326","NANO-MICRO HIERARCHICAL STRUCTURE"
"327","CHLORATES"
"328","FORENSIC ANALYSIS"
"329","FOURIER TRANSFORM INFRARED SPECTROSCOPY"
"330","HOMEMADE EXPLOSIVES"
"331","INORGANIC OXIDIZING SALTS"
"332","NITRATES"
"333","PERCHLORATES"
"334","FILM-BASED FLUORESCENT SENSING"
"335","ILLICIT DRUGS"
"336","SENSORY ARRAY"
"337","VOLATILE ORGANIC COMPOUNDS"
"338","FIELD FORENSICS"
"339","FIELDABLE MASS SPECTROMETRY"
"340","FORENSIC MASS SPECTROMETRY"
"341","AMMONIUM NITRATE EXPLOSION"
"342","BEIRUT"
"343","BLAST INJURY"
"344","EMERGENCY PREPAREDNESS"
"345","HEALTH HAZARD"
"346","TRAUMATIC BRAIN INJURY"
"347","AUNR@AGNCS"
"348","AUNRS"
"349","BACTERIAL CELLULOSE"
"350","THREE-DIMENSIONAL SERS SUBSTRATE"
"351","DYNAMIC DECISION"
"352","EXPLOSION ACCIDENT"
"353","FAULT TREE ANALYSIS"
"354","PHA"
"355","RISK ASSESSMENT"
"356","AGGREGATION-INDUCED EMISSION"
"357","ANALYTICAL CHEMISTRY"
"358","ENVIRONMENTAL MONITORING"
"359","SUPRAMOLECULAR CUES"
"360","CONTAMINATED SOIL"
"361","LIFE CYCLE ASSESSMENT"
"362","MICROBIAL REMEDIATION"
"363","PHOTONIC CRYSTAL"
"364","POLY(IONIC LIQUID)"
"365","VISUAL IDENTIFICATION"
"366","AGGREGATION INDUCED EMISSION (AIE)"
"367","PICRIC ACID (PA)"
"368","SUPRAMOLECULAR FLUORESCENT SENSOR"
"369","TRIPODAL NAPHTHALIMIDE"
"370","2,4,6-TRINITROTOLUENE (TNT)"
"371","BACTERIAL ENZYMES"
"372","BIOREMEDIATION"
"373","BIOTRANSFORMATION"
"374","NITROAROMATIC COMPOUNDS"
"375","TOXICITY"
"376","HIGH SENSITIVITY"
"377","LOW DETECTION LIMIT"
"378","PHOTOIONIZATION DETECTOR"
"379","PORTABLE GAS CHROMATOGRAPHY"
"380","TRACE VAPOR ANALYSIS"
"381","CHEMICAL SENSING"
"382","INSECT-BASED MACHINE OLFACTION"
"383","NEURAL ENGINEERING"
"384","NEURAL SIGNALS"
"385","PATTERN RECOGNITION"
"386","DYNAMIC RESPONSE"
"387","INTERPENETRATION"
"388","NITROAROMATIC EXPLOSIVES DETECTOR"
"389","AMMONIUM DINITRAMIDE"
"390","AQUEOUS MONOPROPELLANTS"
"391","ENERGETIC IONIC LIQUIDS"
"392","HYDROXYLAMMONIUM NITRATE"
"393","METAL COMPATIBILITY"
"394","SPACE TECHNOLOGY"
"395","BENZALDEHYDE"
"396","CL-20"
"397","COCRYSTAL"
"398","LASEM"
"399","METAL COMBUSTION"
"400","METALLIZED EXPLOSIVES"
"401","PLASMA"
"402","REACTIVE MATERIALS"
"403","PHOTOPOLYMERIZATION"
"404","POLYMER"
"405","RHEOLOGY"
"406","SUSPENSION"
"407","COPOLYMER"
"408","FRET"
"409","NITROAROMATICS"
"410","SENSOR"
"411","ULTRAFAST TRANSIENT ABSORPTION"
"412","DOMINO EFFECT"
"413","MAJOR CHEMICAL ACCIDENT"
"414","SYMPATHETIC DETONATION"
"415","FLUORESCENCE PROBES"
"416","FLUORESCENT STRIPS"
"417","RATIOMETRIC SENSING"
"418","VISUAL DETECTION"
"419","HYPERBRANCHED POLYMERS"
"420","ALLYL TETRAPHENYL ETHYLENE (AL-TPE)"
"421","FINITE ELEMENT METHOD"
"422","HOLLOW CORE PHOTONIC CRYSTAL FIBER (HC-PCF)"
"423","TRACE EXPLOSIVE SENSOR"
"424","AC CURRENT EXCITATION"
"425","ELECTRONIC NOSE"
"426","MULTI-COATINGS"
"427","PHASE-SENSITIVE RECTIFICATION METHOD"
"428","RESISTIVE AND CAPACITIVE SENSING"
"429","SU-8 PIEZO-RESISTIVE CANTILEVER"
"430","ALUMINIZED EXPLOSIVE"
"431","BORON"
"432","CYLINDER TEST"
"433","DETONATION CHARACTERISTICS"
"434","MAGNESIUM HYDRIDE"
"435","BLAST LOADING"
"436","CYLINDRICAL EXPLOSIVE"
"437","ENERGY EQUIVALENT IMPULSE"
"438","KINETIC ENERGY UPTAKE"
"439","PLATE DEFLECTION"
"440","SPHERICAL EQUIVALENCE"
"441","ADSORPTION"
"442","DNAN"
"443","INSENSITIVE HIGH EXPLOSIVES"
"444","NTO"
"445","WASTEWATER TREATMENT"
"446","COLORIMETRIC ARRAY"
"447","HYDROGEL"
"448","IMPROVISED EXPLOSIVE"
"449","LOGIC GATE"
"450","MICROFLUIDIC"
"451","MIXTURE IDENTIFICATION"
"452","NITRATE"
"453","SEMIQUANTITATIVE ANALYSIS"
"454","TRACE DETECTION"
"455","CRYSTAL QUALITY"
"456","LLM-105"
"457","MECHANICAL PERFORMANCE"
"458","MORPHOLOGY"
"459","POLYMER BONDED EXPLOSIVES"
"460","COVID-19 PANDEMIC"
"461","DISASTER RESPONSE"
"462","CBRNE"
"463","COUNTER-TERRORISM MEDICINE"
"464","DISASTER MEDICINE"
"465","MASS CASUALTY"
"466","TERRORISM"
"467","4H-1, 2, 4-TRIAZOLE"
"468","DNT"
"469","MULTIFUNCTIONAL FLUORESCENT PROBE"
"470","SARIN"
"471","TATP"
"472","BLACK POWDER SUBSTITUTES"
"473","BLACK POWDERS"
"474","FUEL-OXIDIZER MIXTURE EXPLOSIVES"
"475","PYROTECHNICS"
"476","SECURITY"
"477","5,5′-BISTETRAZOLE-1,1′-DIOLATE"
"478","DENSITY-FUNCTIONAL THEORY"
"479","HYDROGEN BOND"
"480","MOLECULAR DYNAMICS"
"481","EXPLOSIVE PRECURSORS"
"482","IMPROVISED EXPLOSIVE DEVICES"
"483","REACTION VIOLENCE"
"484","ROCKET PROPELLANT"
"485","SLOW COOK-OFF"
"486","X-RAY"
"487","ARTIFICIAL NEURAL NETWORK"
"488","MULTIVARIATE ANALYSIS"
"489","PRINCIPAL COMPONENT ANALYSIS"
"490","STANDOFF LIBS"
"491","AGING"
"492","AGING SENSITIVITY COEFFICIENT`"
"493","BURNING RATE"
"494","CLOSED VESSEL"
"495","DOUBLE﻿-BASE PROPELLANT"
"496","QUANTITATIVE ANALYSIS"
"497","REUSABLE MATERIALS"
"498","COMPLEX MATRICES"
"499","HIGH RESOLUTION ACCURATE MASS SPECTROMETRY"
"500","SOLID PHASE EXTRACTION"
"501","MAXIMUM IMPULSE"
"502","MULTI-MATERIAL ARBITRARY-LAGRANGIAN-EULERIAN"
"503","PEAK OVERPRESSURE"
"504","PENTAERYTHRITOL TETRANITRATE"
"505","TNT EQUIVALENCE"
"506","BIOELECTRONIC NOSES"
"507","BIOMIMETIC SENSING MATERIALS"
"508","BIOMIMICRY"
"509","BIOSENSORS"
"510","NERVE AGENTS"
"511","ODORANT BINDING PROTEINS"
"512","OLFACTORY RECEPTORS"
"513","SENSE OF SMELL"
"514","BIOMONITORING"
"515","DAB (LIMANDA LIMANDA)"
"516","DUMPED MUNITION"
"517","FISH"
"518","METABOLITES"
"519","CHARGE TRANSFER"
"520","ENERGY GAP"
"521","EXPLOSIVE VAPORS"
"522","GRAPHDIYNE"
"523","NANORIBBON"
"524","CARBAZOLE"
"525","OPTICAL SENSOR"
"526","TRYPTOPHAN"
"527","GREEN SYNTHESIS"
"528","INSENSITIVE HIGH ENERGY MATERIAL"
"529","MTNI"
"530","NITROIMIDAZOLE"
"531","THERMOLYSIS"
"532","CONTINUOUS FLOW CALIBRATION"
"533","HMX"
"534","PASSIVE SAMPLING"
"535","THREE-COMPARTMENT MODEL"
"536","ANTI-OVERLOAD PERFORMANCE"
"537","NARROW PARTICLE SIZE DISTRIBUTION"
"538","POLYMER BONDED EXPLOSIVE"
"539","DESENSITIZATION"
"540","GO"
"541","PEI"
"542","BURNING VELOCITY"
"543","CELLULOSE NANOFIBER"
"544","ESTERIFICATION"
"545","SPECIFIC SURFACE AREA"
"546","DETONATION REACTION ZONE"
"547","EXPLOSIVE METAL ACCELERATION"
"548","LASER INTERFEROMETRY"
"549","NANO-SIZED ALUMINUM"
"550","THERMODYNAMIC EQUILIBRIUM CALCULATION"
"551","3D-PRINTING"
"552","ENVIRONMENTAL POLLUTION"
"553","PHOTOCATALYSTS"
"554","ROBOTS"
"555","COOKOFF"
"556","DDT"
"557","LX-14"
"558","PBX 9501"
"559","THERMAL DAMAGE"
"560","EXPLOSIVE RESIDUE"
"561","IED"
"562","POST-BLAST"
"563","TRL 3"
"564","AFTERBURNING"
"565","GAS PRESSURE"
"566","INTERNAL EXPLOSION"
"567","HIGH-WATER CONTENT MEDIUM"
"568","IMPROVISED EXPLOSIVE DEVICES (IEDS)"
"569","MICROWAVE-INDUCED THERMOACOUSTIC IMAGING (MITAI)"
"570","DINITROTOLUENE"
"571","EXPLOSIVE MARKER"
"572","TRINITROPHENOL"
"573","CRIME SCENE INVESTIGATION"
"574","DNA"
"575","GUNSHOT RESIDUES (GSR)"
"576","NEW PSYCHOACTIVE SUBSTANCES (NPS)"
"577","PAPER-BASED DEVICES"
"578","IGNITION ENERGY"
"579","LASER IGNITION"
"580","PHOTOTHERMAL MATERIALS"
"581","PHOTOTHERMAL PERFORMANCE"
"582","MODEL RECONSTRUCTION"
"583","PYROLYSIS MECHANISM"
"584","INSENSITIVE APPLICABLE EXPLOSIVE"
"585","NITROAMINE"
"586","ONE STEP SYNTHESIS"
"587","ALUMINOTHERMIC REACTION"
"588","FINITE-DIFFERENCE-SCHEME"
"589","HEMATITE-ALUMINUM REACTION"
"590","THERMITE"
"591","BURNING CHARACTERISTICS"
"592","COMPOSITE PROPELLANT"
"593","IRON OXIDE"
"594","DECOMPOSITION MECHANISM"
"595","DIFFUSION COEFFICIENT"
"596","PRODUCT ANALYSIS"
"597","REAXFF-LG"
"598","CRACKS"
"599","DYNAMIC DAMAGE"
"600","IMPACT LOADING"
"601","PERIDYNAMIC"
"602","FLUORIMETRIC SENSING"
"603","HYDRAZIDE-IMINE CONJUGATES"
"604","NITRO-AROMATIC"
"605","POLYAROMATIC MOIETY"
"606","CAMOUFLAGE NANOTECHNOLOGY"
"607","CBRN DEFENSE"
"608","HIGH ENERGY EXPLOSIVES"
"609","HIGH ENERGY PROPELLANTS"
"610","LIGHTWEIGHT MILITARY ARMORS"
"611","NANOTECHNOLOGY IN DEFENSE"
"612","SMART SOLDIER"
"613","STEALTH NANOTECHNOLOGY"
"614","THREAT DETECTION"
"615","THREAT PROTECTION"
"616","EXPLOSIVE DECONTAMINATION"
"617","MICROMOTOR"
"618","SIX DEGREES OF FREEDOM"
"619","VISIBLE-LIGHT-DRIVEN"
"620","WATER FUEL"
"621","HYPERBRANCHED POLYMER"
"622","PHOTOLUMINESCENT VESICLES"
"623","AMMONIA"
"624","ATMOSPHERIC CO2 CARBONATION"
"625","EXPLOSIVES WASTEWATER"
"626","IMMEDIATE ONE-STEP LIME PRECIPITATION"
"627","LOW BIODEGRADABLE ORGANIC MATTER"
"628","SLUDGE"
"629","3,6-DINITROPYRAZOLO[4,3-C]-PYRAZOLE"
"630","FUSED-RING"
"631","HIGH EXPLOSIVE"
"632","INSENSITIVITY"
"633","NGO"
"634","THERMAL DECOMPOSITION MECHANISM"
"635","GOLD NANOPARTICLES"
"636","PROPELLANT DETERMINATION"
"637","CONCRETE WALL"
"638","MCNP5 SIMULATION"
"639","TAGGED NEUTRON METHOD"
"640","Γ-RAY ENERGY SPECTRA"
"641","CUPROUS AZIDE"
"642","IGNITION PERFORMANCE"
"643","INITIATING EXPLOSIVE DEVICES"
"644","NANOENERGETIC MATERIALS"
"645","SOLID–LIQUID AZIDATION"
"646","COFFEE-RING EFFECT"
"647","GOLD NANOSTARS"
"648","NANOPARTICLE DEPOSITION"
"649","AIRPORT SECURITY BAGGAGE SCREENING"
"650","HUMAN–AUTOMATION INTERACTION"
"651","VISUAL SEARCH"
"652","AVIATION SECURITY"
"653","DECISION TREE CLASSIFIER"
"654","KNN REGRESSOR"
"655","MCNP"
"656","PROMPT GAMMA NEUTRON ACTIVATION ANALYSIS (PGNAA)"
"657","ROMAHSA EXPERIMENTAL SETUP"
"658","CYCLOTRIMETHYLENETRINITRAMINE"
"659","LASER INITIATION"
"660","ULTRAFINE PARTICLES"
"661","EXOTHERMIC CURVES"
"662","MAXIMUM TEMPERATURE OF THE SYNTHESIS REACTION"
"663","THERMAL CHARACTERISTICS"
"664","MIXING CLASSIFICATION"
"665","RAM"
"666","RESONANT ACOUSTIC® MIXING"
"667","SAFETY ASSESSMENT"
"668","DISTRIBUTED MULTIPOLE ANALYSIS (DMA)"
"669","IMPACT SENSITIVITY OF EXPLOSIVES"
"670","NITROAZOLES DERIVATIVES"
"671","NITROIMIDAZOLES"
"672","NITROPYRAZOLES"
"673","NITROTRIAZOLES"
"674","ANFO EXPLOSIVES"
"675","CHEMOMETRICS"
"676","DIESEL"
"677","FAMES"
"678","FTIR"
"679","GCMS"
"680","ARTIFICIAL AGING"
"681","DOUBLE-BASE PROPELLANT"
"682","SHELF-LIFE ASSESSMENT"
"683","CRYSTAL STRUCTURE"
"684","ENERGETIC PROPERTIES"
"685","GAS CHROMATOGRAPHY"
"686","MICROFABRICATION"
"687","MINIATURIZATION"
"688","NORMALIZED PRECONCENTRATION EFFICACY (NPE)"
"689","PRECONCENTRATION"
"690","VOC DETECTION"
"691","AIRBLAST"
"692","FATALITY"
"693","PROBABILISTIC MODELLING"
"694","UNCERTAINTY"
"695","CLASSIFICATION"
"696","DEEP LEARNING"
"697","FAST DETECTION"
"698","MACHINE LEARNING"
"699","SENSOR ARRAYS"
"700","3, 3′-DIAMINOBENZIDINE"
"701","FIELD TEST"
"702","MNO2 NANOZYMES"
"703","PEROXIDE-BASED EXPLOSIVES"
"704","TRIACETONE TRIPEROXIDE"
"705","AMBIENT IONIZATION MASS SPECTROMETRY"
"706","COGNITION"
"707","DOG"
"708","INHIBITORY CONTROL"
"709","MOTOR INHIBITION"
"710","WORKING DOG"
"711","COMMERCIAL EXPLOSIVES"
"712","HPLC-HRMS"
"713","MILITARY EXPLOSIVES"
"714","POWDER XRD"
"715","XRF"
"716","DIPOLAR POLYCARBONATE"
"717","DONOR-Π-ACCEPTOR CHROMOPHORES"
"718","MACH-ZEHNDER INTERFEROMETER"
"719","NITROAROMATIC EXPLOSIVE DETECTION"
"720","POLYMER WAVEGUIDE SENSORS"
"721","COMPATIBILITY STUDY"
"722","DIAMMONIUM 5,5′-BISTETRAZOLE-1,1′-DIOLATE (ABTOX)"
"723","SADT"
"724","ADN"
"725","GREEN PROPULSION"
"726","MONOPROPELLANT"
"727","ORBITAL PROPULSION"
"728","THERMAL IGNITION"
"729","DECONVOLUTION"
"730","DRUGS"
"731","FORENSIC CHEMISTRY"
"732","ISOMERIC SEPARATION"
"733","PRECURSOR"
"734","VUV"
"735","ADVANCED EXPLOSIVES"
"736","APPLICATIONS OF EXPLOSIVES"
"737","CLASSIFICATION OF EXPLOSIVES"
"738","HIGH ENERGY MATERIALS"
"739","NEW EXPLOSIVES"
"740","3-NITROTOLUENE"
"741","EXPLOSIVE TAGGANT"
"742","NANOCOMPOSITE"
"743","SILVER NANOPARTICLES"
"744","DIAMOND"
"745","MAJOR URINARY PROTEINS"
"746","NARCOTICS DETECTION"
"747","ACCUMULATION AND SENSING LAYER"
"748","EFFECTIVE DISTANCE OF FRET"
"749","TNT SENSOR"
"750","ULTRA-HIGH SENSITIVITY"
"751","CENOSPHERE"
"752","EMULSION EXPLOSIVE"
"753","EXPLOSION POWER"
"754","GLASS MICROSPHERE"
"755","SENSITIZER"
"756","MECHANICAL GRINDING"
"757","NANOCOMPOSITE METAL OXIDES"
"758","SYNERGISTIC EFFECT"
"759","2,4-DINITOTOLUENE (DNT)"
"760","LANDMINES"
"761","MICROBIAL BIOREPORTER"
"762","CFD"
"763","EMISSIONS"
"764","EXPLOSIVE WASTE"
"765","FLUIDIZED BED"
"766","INCINERATION"
"767","NOX"
"768","ALUMINIZED RDX"
"769","EMISSION SPECTRUM"
"770","LASER ABLATION"
"771","ALUMINIUM"
"772","DESTRUCTIVE EFFECT"
"773","FERRIC OXIDE"
"774","HYDROTHERMAL SYNTHESIS"
"775","METALIZED EXPLOSIVES"
"776","NANOPARTICLES"
