Title,Year,Source.title,Authors,Affiliations,AuthorID,Abstract,AIKeywords,Index.Keywords,EID,DOI,Country,KeywordsCorrected
DETONATION FAILURE CHARACTERIZATION OF HOMEMADE EXPLOSIVES,2014,"Propellants, Explosives, Pyrotechnics","Janesheski R.S., Groven L.J., Son S.F.","School of Mechanical Engineering, Purdue University, 500 N Allison Rd, West Lafayette, IN 47907, USA",55246097500;9840540300;7202529994;,TYPICALLY CHARACTERIZING HOME MADE EXPLOSIVES HMES REQUIRES MANY LARGE SCALE EXPERIMENTS WHICH IS PROHIBITIVE GIVEN THE LARGE NUMBER OF MATERIALS IN USE A SMALL SCALE EXPERIMENT WAS DEVELOPED TO CHARACTERIZE HMES SUCH AS AMMONIUM NITRATE FUEL OIL MIXTURES A MICROWAVE INTERFEROMETER IS APPLIED TO SMALL SCALE CONFINED TRANSIENT EXPERIMENTS YIELDING TIME RESOLVED CHARACTERIZATION OF A FAILING DETONATION THAT IS INITIATED WITH AN IDEAL EXPLOSIVE BOOSTER CHARGE EXPERIMENTS WERE PERFORMED WITH AMMONIUM NITRATE AND TWO FUEL COMPOSITIONS DIESEL FUEL AND MINERAL OIL IT WAS OBSERVED THAT THE FAILURE DYNAMICS WERE INFLUENCED BY FACTORS SUCH AS THE CHEMICAL COMPOSITION CONFINER THICKNESS AND APPLIED SHOCK WAVE STRENGTH THIN STEEL WALLED CONFINERS WITH 0 71MM WALL THICKNESS EXPERIENCED DETONATION FAILURE AND DECOUPLING OF THE SHOCK WAVE FROM THE REACTION ZONE CONFINERS WITH A WALL THICKNESS OF 34 9MM SHOWED A DECREASE IN PROPAGATION SPEED AND A STEADY REACTIVE WAVE WAS ACHIEVED VARYING THE APPLIED SHOCK STRENGTH BY USING AN ATTENUATOR SHOWED CORRESPONDING CHANGES IN THE INITIAL OVERDRIVEN REACTIVE WAVE VELOCITY IN THE HMES THE DISTANCE TO DETONATION FAILURE WAS ALSO SHOWN TO DEPEND ON THE ATTENUATOR LENGTH WHEN THIN WALL CONFINEMENT WAS USED THIS EXPERIMENTAL METHOD IS SHOWN TO BE REPEATABLE AND CAN BE PERFORMED WITH LITTLE REQUIRED MATERIAL ABOUT 2G THE DATA OBTAINED COULD BE USEFUL TO MODEL DEVELOPMENT AND VALIDATION AS WELL AS QUANTIFYING DETONABILITY OF MATERIALS 2014 WILEY VCH VERLAG GMBH CO KGAA WEINHEIM ,Ammonium nitrate; Detonation failure; Home made explosives; Microwave interferometry; Shockwave,Diesel fuels; Experiments; Nitrates; Shock waves; Wave propagation; Ammonium nitrate; Failure characterization; Large scale experiments; Microwave interferometer; Microwave interferometries; Small-scale experiment; Time-resolved characterization; Transient experiments; Detonation,2-s2.0-84905816168,10.1002/prep.201300041,USA,AMMONIUM NITRATE AN DETONATION FAILURE HOME MADE EXPLOSIVES MICROWAVE INTERFEROMETRY SHOCKWAVE
DETONATION PERFORMANCE CHARACTERIZATION OF A NOVEL CL 20 COCRYSTAL USING MICROWAVE INTERFEROMETRY,2018,"Propellants, Explosives, Pyrotechnics","Vuppuluri V.S., Samuels P.J., Caflin K.C., Gunduz I.E., Son S.F.","Department of Mechanical Engineering, Purdue University, 585 Purdue Mall, West Lafayette, IN  47907, USA, US Army Armament Research Development and Engineering Center (ARDEC), Explosives Research Branch, Building 3028, Picatinny Arsenal, NJ  07806, USA",57196027174;53986504200;55774529100;8440447600;7202529994;,DEVELOPMENT OF NOVEL ENERGETIC MATERIALS IS A SIGNIFICANT CHALLENGE COCRYSTALLIZATION HAS BEEN EXPLORED AS ANOTHER ROUTE TO DEVELOPMENT OF NOVEL MATERIALS HOWEVER VERY LITTLE CHARACTERIZATION OF DETONATION PERFORMANCE HAS BEEN PERFORMED FOR THESE ENERGETIC COCRYSTALS A MAJOR CHALLENGE FOR PERFORMING DETONATION VELOCITY MEASUREMENTS WITH COCRYSTALS IS THAT TYPICAL MEASUREMENT TECHNIQUES REQUIRE HUNDREDS OF GRAMS TO KILOGRAMS OF MATERIAL AN AMOUNT THAT EXCEEDS THE ENTIRE SUPPLY OF MANY COCRYSTALS IN THIS WORK SMALL SCALE DETONATION VELOCITY MEASUREMENTS USING ABOUT 1 2 G OF MATERIAL PER TEST EMPLOYING MICROWAVE INTERFEROMETRY ARE PRESENTED AND DISCUSSED FOR A NOVEL COCRYSTAL OF 1 METHYL 3 5 DINITRO 1 2 4 TRIAZOLE MDNT AND HEXANITROHEXAAZAISOWURTZITANE CL 20 IN A 1 1 MOLAR RATIO AND COMPARED TO A PHYSICAL MIXTURE OF MDNT AND CL 20 IN THE SAME MOLAR RATIO THE RESULTS ARE COMPARED WITH DETONATION VELOCITY MEASUREMENTS WITH CYCLOTETRAMETHYLENE TETRANITRAMINE HMX WHICH PROVIDE VALIDATION OF THE TECHNIQUE AND FURTHER COMPARISON OF THE RESULTS WITH THIS TECHNIQUE DETONATION VELOCITY DIFFERENCES AS LOW AS 100 M S ARE RESOLVABLE THE MDNT CL 20 COCRYSTAL IS OBSERVED TO DETONATE OVER 500 M S FASTER THAN THE PHYSICAL MIX AND OVER 600 M S FASTER THAN HMX AT THE SAME CHARGE DENSITY WHICH IS HELD CONSTANT IN THIS WORK THE ENTHALPY OF FORMATION OF THE MDNT CL 20 COCRYSTAL WAS ALSO MEASURED USING THIS THE DETONATION VELOCITY OF THE COCRYSTAL WAS CALCULATED USING THERMOCHEMISTRY TO BE 230 M S FASTER THAN THAT OF THE PHYSICAL MIXTURE OF MDNT AND CL 20 IN THE SAME MOLAR RATIO AS IS CONTAINED WITHIN THE COCRYSTAL AT A CHARGE DENSITY OF 1 4 G CM3 THE HIGHER DETONATION VELOCITY OF THE COCRYSTAL BOTH MEASURED AND PREDICTED COMPARED TO THE PHYSICAL MIXTURE IS LIKELY ATTRIBUTABLE TO BONDING ENERGY CONTAINED WITHIN THE COCRYSTAL AND THE ARRANGEMENT OF THE COFORMERS WITHIN THE COCRYSTAL 2018 WILEY VCH VERLAG GMBH CO KGAA WEINHEIM ,cocrystal; detonation; microwave interferometry,Characterization; Explosives; HMX; Interferometry; Mixtures; Velocity; Velocity measurement; Co-crystals; Cyclotetramethylene-tetranitramine (HMX); Detonation performance; Detonation velocity; Enthalpy of formation; Hexanitrohexaazaisowurtzitane; Measurement techniques; Microwave interferometries; Detonation,2-s2.0-85040722176,10.1002/prep.201700150,USA,COCRYSTAL DETONATION MICROWAVE INTERFEROMETRY
DEVELOPMENT AND VALIDATION OF HPLC METHOD FOR DAAF AND ITS APPLICATIONS IN QUALITY CONTROL AND ENVIRONMENTAL MONITORING,2020,"Propellants, Explosives, Pyrotechnics","Chen J.-B., Ding H., Li J., Chen Y., Liu Y., Zhao X.","Institute of Chemical Materials, China Academy of Engineering Physics, Mianyang, 621900, China",55908203900;57218710940;57191506652;15134827700;27171434100;57203878446;,3 3 DIAMINO 4 4 AZOXYFURAZAN DAAF AS A PROMISING ENERGETIC MATERIAL HAS MANY POTENTIAL APPLICATIONS IN BOTH CIVIL AND MILITARY AREAS HIGH PERFORMANCE LIQUID CHROMATOGRAPHY HPLC IS AN IMPORTANT ANALYTICAL METHOD FOR QUALITY CONTROL AND ENVIRONMENTAL MONITORING OF DAAF IN THIS STUDY CHROMATOGRAPHIC CONDITIONS OF DAAF WERE OPTIMIZED TO DEVELOP AN ANALYTICAL METHOD BASED ON HPLC DAD DAAF AND ITS BYPRODUCTS WERE SEPARATED WITHIN 13 MIN WITH DAAF S RETENTION TIME OF 8 690 MIN AND THE RESOLUTION OF ALL PEAKS WERE ABOVE 1 5 WITH HIGH NUMBER OF THEORETICAL PLATES N 54259 UNDER OPTIMUM CONDITION OF HPLC MEANWHILE THE METHOD WAS VALIDATED AND SHOWED GOOD PERFORMANCE FOR QUANTITATIVE ANALYSIS OF DAAF WITH LOD OF 0 19 NG AND LINEARITY RANGE FROM 0 84 TO 211 16 ΜG ML 1 FURTHERMORE THE METHOD WAS APPLIED TO THE ANALYSIS OF THE PURITY OF DAAF FOR QUALITY CONTROL OF DIFFERENT PREPARATION STAGES AND TRACE DAAF IN WASTEWATER FOR ENVIRONMENTAL MONITORING AROUND EXPLOSIVE MANUFACTURING 2020 WILEY VCH GMBH,Analytical method; DAAF; Environmental monitoring; HPLC; Quality control,High performance liquid chromatography; Military applications; Quality assurance; Analytical method; Chromatographic conditions; Control and environmental monitoring; Environmental Monitoring; ITS applications; Linearity range; Optimum conditions; Theoretical plates; Quality control,2-s2.0-85090137932,10.1002/prep.202000018,China,ANALYTICAL METHOD DIAMINOAZOXYFURAZAN DAAF ENVIRONMENTAL MONITORING HIGH PERFORMANCE LIQUID CHROMATOGRAPHY HPLC QUALITY CONTROL
DIAMETER EFFECT ON THE PROPAGATION OF CURVED DETONATION WAVES IN MICRO CHANNEL CHARGES WITHIN A STRONG CONFINEMENT,2018,"Propellants, Explosives, Pyrotechnics","Jiao Q., Song H., Nie J., Liu R., Xu X., Wen Y.","State Key Laboratory of Explosion Science and Technology, Beijing Institute of Technology, No 5, Zhongguancun South Street, Haidian District, Beijing, China, 713th research institute of China shipbuilding industry corporation, Zhengzhou, China, Beijing Power Machinery Research Institution, Beijing, China",13606852500;57203125629;55485731200;57194704775;34979619200;8291298100;,THE PROPERTY OF DETONATION WAVE PROPAGATION IN MICRO CHANNEL CHARGES IS ONE OF THE MOST IMPORTANT RESEARCH AREAS IN THE FIELD OF EXPLOSIVES BASED ON DSD DETONATION SHOCK DYNAMICS THEORY AND A LINEAR ASSUMPTION FOR THE STREAMLINE DEFLECTION ANGLE THIS PAPER PROPOSES A THEORETICAL MODEL FOR CURVED DETONATION WAVE PROPAGATION IN CYLINDER TYPE MICRO CHANNEL CHARGES WITHIN A STRONG CONFINEMENT OF METAL TUBE FURTHER DYNAMIC CONTROL EQUATIONS RELATED TO THE DETONATION VELOCITY AND CHARGE DIAMETER ARE DEDUCED A NUMERICAL CALCULATION METHOD OF DETONATION VELOCITY AND SHOCK FRONT SHAPE IS GIVEN AND PROPAGATION RULES FOR DETONATION WAVES WITH DIFFERENT DIAMETERS ARE OBTAINED AN EXPERIMENT WAS DESIGNED TO TEST THE DETONATION VELOCITIES FOR MICRO CHANNEL CHARGES WITH A BOOSTER EXPLOSIVE THE RESULTS CLOSELY AGREE WITH CALCULATIONS VALIDATING THE PROPAGATION MODEL OF CURVED DETONATION WAVES IT WAS FOUND THAT THE DETONATION VELOCITY LOSS AND SHOCK FRONT CURVATURE IN THE CENTRAL AXIS DECREASED WITH INCREASING DIAMETER IN THE CALCULATION RANGE MOREOVER THE SMALLER THE DIAMETER THE GREATER THE RATE OF CHANGE IT IS ALSO SHOWN THAT THE MODEL IS SUITABLE FOR THE PREDICTION OF DIAMETER EFFECTS IN MICRO CHANNEL CHARGES WHICH IS OF SIGNIFICANCE FOR STRUCTURAL DESIGN AND PERFORMANCE OPTIMIZATION IN MEMS INITIATION SYSTEMS 2018 WILEY VCH VERLAG GMBH CO KGAA WEINHEIM,curved detonation wave; diameter effect; micro-channel; propagation,Numerical methods; Shock waves; Structural design; Velocity; Wave propagation; Detonation shock dynamics; Detonation wave propagation; Detonation waves; Diameter effect; Numerical calculation methods; Performance optimizations; Propagation modeling; Theoretical modeling; Detonation,2-s2.0-85050633896,10.1002/prep.201800052,China,CURVED DETONATION WAVE DIAMETER EFFECT MICRO CHANNEL PROPAGATION
DIFFUSION OF LABILE CHEMICAL SPECIES IN HTPB AND HTPB XT SOLID PROPELLANTS AND ITS EFFECT OVER SOLID ROCKET MOTOR PROPERTIES ON AGING A STUDY,2021,"Propellants, Explosives, Pyrotechnics","Selvakumar S., Rao G.S., Reddy K.A.","Chemical & Mechanical Testing Labs, SPROB, Solid Propellant Space Booster Plant, SDSC-SHAR, Indian Space Research Organization (ISRO), Sriharikota, Andhra Pradesh  524124, India",57213299044;57222182625;7402390547;,HYDROXYL TERMINATED POLYBUTADIENE RESIN HTPB BASED SOLID PROPELLANTS ARE BEING CURRENTLY USED IN SOLID ROCKET MOTORS OF LAUNCH VEHICLES HTPB XT HTPB BLENDED WITH THE HYDROCARBON OIL EXTOL 21 WAS DEVELOPED TO ENHANCE THE POT LIFE OF THE PROPELLANT SLURRY AND TO OVERCOME THE PROBLEMS IN THE PROPELLANT PROCESSING DUE TO THE SHORTER POT LIFE OF PRESENT HTPB PROPELLANTS THE DIFFUSION STUDY OF LABILE CHEMICAL SPECIES IN HTPB AND HTPB XT PROPELLANTS WITH LOW AND HIGH VISCOSITY HYDROCARBON OILS WAS CARRIED OUT ANALOG CARTONS SIMULATING THE PROPELLANT OF THE MAIN MOTOR WERE CAST WITH 120 KG MIX LEVEL PROPELLANT AND SUBJECTED TO AN AGING STUDY AT ROOM TEMPERATURE AND AN ACCELERATED CONDITION AT DIFFERENT INTERVALS OVER A PERIOD OF 100 DAYS SAMPLES FROM THE CARTONS WERE SUBJECTED TO SOXHLET EXTRACTION AND ANALYZED FOR CONCENTRATION OF CHEMICAL SPECIES IN INSULATION RUBBER AS WELL AS IN PROPELLANT THE CHANGE IN CONCENTRATION OF SPECIES FROM THE INSULATION TO INTERIOR PROPELLANT WAS ALSO STUDIED AND COMPARED WITH HTPB PROPELLANT THE DIFFUSION OF THE OTHER CHEMICALS ALONG WITH PLASTICIZER WAS ALSO OBSERVED IN THESE STUDIES NONAX D A SOLID INGREDIENT ALSO MIGRATED DUE TO ITS SOLUBILITY IN THE PROPELLANT MATRIX BUT NOT DUE TO THE MOVEMENT OF SOLID PARTICLES DUE TO THE MIGRATION OF PROPELLANT CHEMICALS INTO INSULATION THERE WAS A SIGNIFICANT REDUCTION IN THEIR INITIAL CONCENTRATIONS IN THE PROPELLANT REGIONS ADJACENT TO THE INSULATION SURFACE THE RATE OF DIFFUSION OF THE CHEMICALLY UNBOUND SPECIES WAS AFFECTED BY TEMPERATURE AND TIME THE RESULTS OF VISCOSITY BUILD UP MECHANICAL INTERFACIAL BALLISTIC PROPERTIES FOR HTPB AND HTPB XT PROPELLANTS ARE PRESENTED AND DISCUSSED 2021 WILEY VCH GMBH,Extol-21; HTPB propellant; HTPB-XT propellant; Migration study; Pot life,Chemical analysis; Diffusion; Explosives; Hydrocarbon refining; Hydrocarbons; Insulation; Polybutadienes; Rockets; Rubber; Viscosity; Ballistic properties; Diffusion studies; High-viscosity hydrocarbons; Hydroxyl terminated polybutadienes; Initial concentration; Solid rocket motors; Soxhlet extraction; Viscosity build up; HTPB propellants,2-s2.0-85101799969,10.1002/prep.202000253,India,EXTOL 21 HTPB PROPELLANT HTPB XT PROPELLANT MIGRATION STUDY POT LIFE
DIHYDRAZINIUM NITRATES DERIVED FROM MALONIC AND IMINODIACETIC ACID,2018,"Propellants, Explosives, Pyrotechnics","Klapotke T.M., Krumm B., Reith T.","Energetic Materials Research, Department of Chemistry, Ludwig-Maximilian University Munich, Butenandtstr 5Ò13 (D), Munich, D-81377, Germany",7102225410;7004858232;57068857100;,SEVERAL HYDRAZINIUM NITRATES WERE SYNTHESIZED ON THE BASIS OF MALONIC ACID AND IMINODIACETIC ACID THE REACTION OF THE CORRESPONDING ETHYL ESTERS WITH HYDRAZINE HYDRATE YIELDED THE DIHYDRAZIDES IN GOOD TO HIGH YIELDS AND HIGH PURITY SUBSEQUENT PROTONATION WITH DILUTED NITRIC ACID OR HYDROCHLORIC ACID RESULTED IN THE CORRESPONDING NITRATE AND CHLORIDE SALTS THE NEUTRAL COMPOUNDS AND THEIR SALTS WERE FULLY CHARACTERIZED INCLUDING MULTINUCLEAR NMR SPECTROSCOPY VIBRATIONAL ANALYSIS X RAY DIFFRACTION DIFFERENTIAL THERMAL ANALYSIS AND ELEMENTAL ANALYSIS THE ENERGIES OF FORMATION WERE CALCULATED WITH THE GAUSSIAN PROGRAM PACKAGE AND THE DETONATION PARAMETERS WERE PREDICTED USING THE EXPLO5 COMPUTER CODE 2018 WILEY VCH VERLAG GMBH CO KGAA WEINHEIM,Chlorides; Crystal structures; Explosives; Hydrazides; Nitrates,Amino acids; Chlorine compounds; Crystal structure; Differential thermal analysis; Explosives; Hydrazine; Nuclear magnetic resonance spectroscopy; Salts; Software packages; Chlorides; Detonation parameter; Energies of formation; Hydrazides; Iminodiacetic acid; Multinuclear NMR spectroscopy; Neutral compounds; Vibrational analysis; Nitrates,2-s2.0-85047763346,10.1002/prep.201800083,Germany,CHLORIDES CRYSTAL STRUCTURE EXPLOSIVE HYDRAZIDES NITRATE
DIRECT DETECTION OF TRIACETONE TRIPEROXIDE TATP IN REAL BANKNOTES FROM ATM EXPLOSION BY EASI MS,2017,"Propellants, Explosives, Pyrotechnics","Nascimento Correa D., Melendez-Perez J.J., Jardim Zacca J., Borges R., Morgado Schmidt E., Eberlin M.N., Meurer E.C.","ThoMSon Mass Spectrometry Laboratory, Department of Analytical Chemistry, Institute of Chemistry, University of Campinas Ò UNICAMP, Campinas, SP, 13083Ò970, Brazil, Brazilian Federal Police, Scientific and Technical Dept, BrasÃlia, DF, 70037Ò900, Brazil, National Institute of Metrology, Quality and Technology Ò INMETRO, Duque de Caxias, RJ, 25250Ò020, Brazil, Technical-Scientific Police Superintendency from SÑo Paulo State, Criminalistic Institute, 05507Ò060, SÑo Paulo, SP, Brazil, Fenn Laboratory of Mass Spectrometry, Federal University of Paran∑, Paran∑, Brazil",57193949934;55946417900;57193952122;56519371000;57193957871;7005119089;6604027430;,IN BRAZIL AUTOMATED TELLER MACHINE ATM HAS BECOME A MAJOR TARGET OF THEFT INCURSIONS TOWARD EXPLOSION EFFICIENT ANALYSIS OF EXPLOSIVES RESIDUES ON SUSPECT BANKNOTES IS A SERIOUS ISSUE IN FORENSIC LABS AND GUIDE TO THE CRIME SOLUTION EASY AMBIENT SONIC SPRAY IONIZATION MASS SPECTROMETRY EASI MS IS SHOWN TO BE A SIMPLE AND SELECTIVE SCREENING TOOL TO IDENTIFY PEROXIDE EXPLOSIVES ON REAL BANKNOTES COLLECTED FROM ATM EXPLOSION ANALYSES WERE CARRIED OUT DIRECTLY ON THE BANKNOTES SURFACES WITHOUT ANY SAMPLE PREPARATION IDENTIFYING TRIACETONE TRIPEROXIDE TATP AND DIACETONE DIPEROXIDE DADP HOMEMADE EASI SOURCE WAS COUPLED TO ULTRAHIGH RESOLUTION AND ULTRAHIGH ACCURACY FT ICR MS AND REVEALED THE ION OF M Z 245 CORRESPONDENT TO SODIATED TATP C9H18O6NA AND THE ION OF M Z 171 RELATED TO SODIATED DADP C6H12O4NA IONS THAT IS THE SODIATED DADP AND THE IONS OF M Z 173 AND 189 RELATED TO C6H14O4NA AND C6H14O4K RESPECTIVELY WHICH ARE ASSOCIATED TO CHEMICAL MARKERS OF TATP DOMESTIC ROUTE SYNTHESIS EASI SOURCE COUPLED TO A SINGLE QUADRUPOLE MASS SPECTROMETER PROVIDES AN INTELLIGENT AND SIMPLE WAY TO IDENTIFY THE EXPLOSIVES TATP DADP AND ITS DOMESTIC SYNTHESIS MARKERS 2017 WILEY VCH VERLAG GMBH CO KGAA WEINHEIM,Ambient mass spectrometry; Easy ambient sonic-spray ionization mass spectrometry (EASI-MS); Explosive detection; Forensic science; Triacetone triperoxide (TATP),Crime; Explosives; Forensic science; Ionization; Ions; Mass spectrometry; Spectrometry; Ambient mass spectrometries; Automated teller machines; Diacetone diperoxide; Easy ambient sonic spray ionizations; Explosive Detection; Single-quadrupole mass spectrometers; Triacetone triperoxide; Ultrahigh resolution; Explosives detection,2-s2.0-85017595397,10.1002/prep.201600046,Brazil,AMBIENT MASS SPECTROMETRY EASY AMBIENT SONIC SPRAY IONIZATION MASS SPECTROMETRY EASI MS EXPLOSIVE DETECTION FORENSIC SCIENCE TRIACETONE TRIPEROXIDE TATP 
DISCUSSIONS ON THERMOBARIC EXPLOSIVES TBXS,2014,"Propellants, Explosives, Pyrotechnics","Xing X.L., Zhao S.X., Wang Z.Y., Ge G.T.","Xi'An Modern Chemistry Research Institute, Xi'an Zhangbadong Road 165, Shanxi, 710065, China, Xi'An Carbon Materials Co Ltd, Shanxi 710065, China",7102327106;35294545500;56100504800;56100527400;,ALUMINUM IS AN IMPORTANT COMPONENT OF THERMOBARIC EXPLOSIVES TBXS BECAUSE OF THE HIGH IGNITION TEMPERATURE OF ALUMINUM AND ITS PARTIAL INERTNESS DURING DETONATION ITS OPTIMUM AMOUNT ADDED TO TBXS MIGHT DIFFER WHICH CAN BE USED FOR DISTINGUISHING TBXS ACCORDING TO THE THEORY ON FLOW IN A REACTIVE MEDIUM THE PARAMETER Σ IS INTRODUCED TO EXPLAIN THE DIFFERENT REACTION PHENOMENA DURING THE DETONATION PROCESS OF TBXS THE Σ VALUE CAN BE USED TO ILLUSTRATE THE DETONATION OR AFTERBURNING OF EACH REACTION STAGE COPYRIGHT 2014 WILEY VCH VERLAG GMBH CO KGAA WEINHEIM ,Afterburning; Aluminum; Detonation; Thermobaric explosives,Afterburning; Ignition temperatures; On flow; Reactive medium; Thermobaric explosive; Aluminum; Detonation,2-s2.0-84897655667,10.1002/prep.201300003,China,AFTERBURNING ALUMINIUM AL DETONATION THERMOBARIC EXPLOSIVES
EFFECT OF 2 4 6 TRIAMINO 3 5 DINITROPYRIDINE 1 OXIDE ON THE PROPERTIES OF 1 3 5 TRINITRO 1 3 5 TRIAZINANE BASED PBX EXPLOSIVES,2021,"Propellants, Explosives, Pyrotechnics","He Z., Meng T., Wang Y., Guo Z., Liu F., Liu Z.","School of Chemical Engineering, An Hui University of Science and Technology, Huainan, Anhui  232001, China, School of Chemical Engineering, Nanjing University of Science and Technology, Nanjing, Jiangsu  210094, China",23492449100;57221980040;57211006780;7404657385;57199430545;55643857500;,IN THE DESIGN AND PREPARATION OF POLYMER BONDED EXPLOSIVES PBX THE ENERGETIC SYSTEMS POSSESSING THE CHARACTERISTICS OF HIGH ENERGY OUTPUT AND LOW SENSITIVITY ARE ALWAYS PREFERRED FOR RESEARCHERS THE INTEGRATION OF HIGH EXPLOSIVES AND AN ENERGETIC PASSIVATOR IS CONSIDERED TO BE THE MOST USEFUL METHOD IN ACHIEVING THIS OBJECT HEREIN TO EXPLORE THE EFFECT OF 2 4 6 TRIAMINO 3 5 DINITROPYRIDINE 1 OXIDE TANPYO ON THE DETONATION PROPERTIES AND MECHANICAL SAFETY OF 1 3 5 TRINITRO 1 3 5 TRIAZINANE RDX BASED PBX TWO METHODS INCLUDING DIRECT MIXING AND CRYSTALLIZATION COATING WERE UTILIZED TO PREPARE MAIN EXPLOSIVES FOLLOWED BY THE SOLVENT SUSPENSION DISTILLATION METHOD TO OBTAIN RELEVANT COMPOSITES THE MORPHOLOGY MECHANICAL SENSITIVITY AND DETONATION VELOCITY OF AS PREPARED SAMPLES WERE TESTED AND CHARACTERIZED AS WELL AS ARMOR PIERCING ABILITY RESULTS SHOW THAT TANPYO PLAYS A POSITIVE ROLE IN INCREASING THE MECHANICAL SAFETY OF RDX BASED PBX AND IS REFLECTED BY THE 4 56 REDUCTION IN EXPLOSION PROBABILITY THAN THAT OF PURE RDX MOREOVER THE PREPARED SAMPLES USING THE CRYSTALLIZATION COATING METHOD EXHIBIT BETTER PERFORMANCES IN DETONATION VELOCITY AND PERFORATION ABILITY THAN THE DIRECT MIXING METHOD THESE DIFFERENCES REACH THE PEAK WHEN THE MASS RATIO OF RDX AND TANPYO IS 1 1 IN THAT SITUATION THE REDUCED VALUES OF EXPLOSION PROBABILITY ARE 20 IMPACT SENSITIVITY AND 8 FRICTION SENSITIVITY AND THE INCREASING DETONATION VELOCITY IS 309 M S 1 THESE RESULTS DEMONSTRATE THAT THE INTEGRATION OF TANPYO AND THE CRYSTALLIZATION COATING METHOD IS A PROMISING WAY OF ADJUSTING THE PROPERTIES OF RDX BASED PBX 2021 WILEY VCH GMBH,Crystallization coating; Detonation velocity; Mechanical sensitivity; PBX; Perforation; TANPyO,Coatings; Distillation; Explosions; Mixing; Detonation properties; Direct mixing method; Distillation method; Explosion probability; Friction sensitivities; Impact sensitivities; Mechanical sensitivity; Polymer bonded explosives; Detonation,2-s2.0-85100840605,10.1002/prep.202000278,China,CRYSTALLIZATION COATING DETONATION VELOCITY MECHANICAL SENSITIVITY POLYMER BONDED EXPLOSIVE PBX PERFORATION TANPYO
EFFECT OF AL O RATIO ON THE DETONATION PERFORMANCE AND UNDERWATER EXPLOSION OF HMX BASED ALUMINIZED EXPLOSIVES,2014,"Propellants, Explosives, Pyrotechnics","Xiang D.-L., Rong J.-L., Li J.","School of Aerospace Engineering, Beijing Institute of Technology, Beijing100081, China, Department of Automobile Engineering, GuangxiUniversity of Technology, Liuzhou Guangxi 545006, China",36612453500;23010074700;57209630160;,THE PERFORMANCE OF DETONATION AND UNDERWATER EXPLOSION UNDEX OF A SIX FORMULA HMX BASED ALUMINIZED EXPLOSIVE WAS EXAMINED BY DETONATION AND UNDEX EXPERIMENTS THE DETONATION PRESSURES DETONATION VELOCITIES AND DETONATION HEAT OF HMX BASED ALUMINIZED EXPLOSIVE WERE MEASURED THE RELIABILITY BETWEEN THE EXPERIMENTAL RESULTS AND THOSE CALCULATED BY AN EMPIRICAL FORMULA AND THE KHT CODE WAS VERFIED UNDEX EXPERIMENTS WERE CARRIED OUT ON THE PROPAGATION OF A SHOCK WAVE AND A BUBBLE PULSE OF A 1KG CYLINDRICAL HMX BASED ALUMINIZED EXPLOSIVE UNDERWATER AT A DEPTH OF 4 7M BASED ON THE EXPERIMENTAL RESULTS OF THE SHOCK WAVE THE COEFFICIENTS OF SIMILARITY LAW EQUATION FOR THE PEAK PRESSURE AND ATTENUATION TIME CONSTANT OF SHOCK WAVE WERE IN ACCEPTABLE AGREEMENT THE BUBBLE MOTION DURING UNDEX WAS SIMULATED USING MSC DYTRAN SOFTWARE AND THE RADIUSÏ TIME CURVES OF BUBBLES WERE DETERMINED THE EFFECT OF THE ALUMINUM OXYGEN RATIO ON THE PERFORMANCE OF THE DETONATION AND UNDEX FOR AN HMX BASED ALUMINIZED EXPLOSIVE WAS DISCUSSED COPYRIGHT 2014 WILEY VCH VERLAG GMBH CO KGAA WEINHEIM ,Aluminum particle; Aluminum-oxygen ratio(Al/O ratio); Detonation parameters; HMX-based aluminized explosive; Underwater explosion,Aluminum powder metallurgy; Shock waves; Underwater explosions; Aluminized explosives; Aluminum particle; Detonation parameter; Detonation performance; Detonation pressure; Detonation velocity; Oxygen ratios; Underwater explosion (undex); Detonation,2-s2.0-84897598848,10.1002/prep.201300026,China,ALUMINUM PARTICLE ALUMINUM OXYGEN RATIO AL O RATIO DETONATION PARAMETERS HMX BASED ALUMINIZED EXPLOSIVE UNDERWATER EXPLOSION
