AIKeywords	CorrectedAIKeywords	CorAIKeywordsAcronym
"2,4,6-TRINITROPHENOL (TNP) EXPLOSIVE"	PICRIC ACID (PA)	PICRIC ACID (PA)
"2,4,6-TRINITROPHENOL (TNP) EXPLOSIVE"	PICRIC ACID (PA)	PICRIC ACID (PA)
"2,4,6-TRINITROPHENYLNITRAMINOETHYL NITRATE"	PENTRYL	PENTRYL
"2,4,6-TRINITROTOLUENE"	"2,4,6-TRINITROTOLUENE (TNT)"	"2,4,6-TRINITROTOLUENE (TNT)"
"2,4,6-TRINITROTOLUENE (TNT)"	"2,4,6-TRINITROTOLUENE (TNT)"	"2,4,6-TRINITROTOLUENE (TNT)"
"2,4,6-TRINITROTOULENE"	"2,4,6-TRINITROTOLUENE (TNT)"	"2,4,6-TRINITROTOLUENE (TNT)"
"2,4,6-Trinitrpohenol"	PICRIC ACID (PA)	PICRIC ACID (PA)
"2,4,6-Trinitrpohenol"	PICRIC ACID (PA)	PICRIC ACID (PA)
"2,6-DIAMINO-3,5-DINITROPYRAZINE-1-OXIDE"	"2,6-DIAMINO-3,5-DINITROPYRAZINE-1-OXIDE (LLM-105)"	"2,6-DIAMINO-3,5-DINITROPYRAZINE-1-OXIDE (LLM-105)"
2.4.6-TNT	"2,4,6-TRINITROTOLUENE (TNT)"	"2,4,6-TRINITROTOLUENE (TNT)"
"3 ,4-METHYLENEDIOXYMETHAMPHETAMINE"	"3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"	"3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"
3 (1 NAPHTHOYL) 1 PENTYLINDOLE	JWH-018	JWH-018
3 5 DINITRO 3 5 DIAZAHEPTANE	"3,5-DINITRO-3,5-DIAZAHEPTANE"	"3,5-DINITRO-3,5-DIAZAHEPTANE"
3 NITRO 1 2 4 TRIAZOL 5 ONE NTO	"3-NITRO-1,2,4-TRIAZOL-5-ONE (NTO)"	"3-NITRO-1,2,4-TRIAZOL-5-ONE (NTO)"
"3-NITRO-1,2,4-TRIAZOL-5-ONE"	"3-NITRO-1,2,4-TRIAZOL-5-ONE (NTO)"	"3-NITRO-1,2,4-TRIAZOL-5-ONE (NTO)"
"3,3,6,6,9,9-HEXAMETHYL-1,2,4,5,7,8-HEXOXONANE"	TRIACETONE TRIPEROXIDE (TATP)	TRIACETONE TRIPEROXIDE (TATP)
"3,3?-DIAMINO-4,4?-AZOFURAZAN (DAAZF)"	DIAMINOAZOFURAZ (DAAZF)	DIAMINOAZOFURAZ (DAAZF)
"3,3'-DINITRIMINO-5,5'-BIS(1H-1,2,4-TRIAZOLE)"	"3,3-DINITRIMINO-5,5-BIS(1H-1,2,4-TRIAZOLE) (DNABT)"	"3,3-DINITRIMINO-5,5-BIS(1H-1,2,4-TRIAZOLE) (DNABT)"
"3,4 METHYLENEDIOXYAMPHETAMINE"	"3,4-METHYLENEDIOXYAMPHETAMINE (MDA)"	"3,4-METHYLENEDIOXYAMPHETAMINE (MDA)"
"3,4 METHYLENEDIOXYETHYLAMPHETAMINE"	"3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"	"3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"
"3,4 METHYLENEDIOXYMETHAMPHETAMINE"	"3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"	"3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"
"3,4- METHYLENEDIOXYMETHAMPHETAMINE"	"3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"	"3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"
"3,4-(METHYLENEDIOXY)METHYLAMPHETAMINE"	"3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"	"3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"
"3,4-METHYLENDIOXYMETHAMPHETAMINE"	"3,4-METHYIENEDIOXYMETHAMPHETAMINE"	"3,4-METHYIENEDIOXYMETHAMPHETAMINE"
"3,4-METHYLENE-DIOXYMETHAMPHETAMINE (MDMA)"	"3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"	"3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"
"3,4-METHYLENEDIOXY-METHAMPHETAMINE (MDMA)"	"3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"	"3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"
"3,4-METHYLENEDIOXY-N-METHYL AMPHETAMINE"	"3,4-METHYLENEDIOXY-N-METHYLAMPHETAMINE (MDMA)"	"3,4-METHYLENEDIOXY-N-METHYLAMPHETAMINE (MDMA)"
"3,4-METHYLENEDIOXY-N-METHYLAMPHETAMINE"	"3,4-METHYLENEDIOXY-N-METHYLAMPHETAMINE (MDMA)"	"3,4-METHYLENEDIOXY-N-METHYLAMPHETAMINE (MDMA)"
"3,4-METHYLENEDIOXYAMPHETAMINE"	"3,4-METHYLENEDIOXYAMPHETAMINE (MDA)"	"3,4-METHYLENEDIOXYAMPHETAMINE (MDA)"
"3,4-METHYLENEDIOXYAMPHETAMINES"	"3,4-METHYLENEDIOXYAMPHETAMINE (MDA)"	"3,4-METHYLENEDIOXYAMPHETAMINE (MDA)"
"3,4-METHYLENEDIOXYMETAMPHETAMINE"	"3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"	"3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"
"3,4-METHYLENEDIOXYMETAMPHETAMINE (MDMA)"	"3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"	"3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"
"3,4-METHYLENEDIOXYMETHAMPHET AMINE"	"3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"	"3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"
"3,4-METHYLENEDIOXYMETHAMPHETAMINE"	"3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"	"3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"
"3,4-METHYLENEDIOXYMETHAMPHETAMINE (3,4-MDMA)"	"3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"	"3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"
"3,4-METHYLENEDIOXYMETHYLAMPHETAMINE"	"3,4-METHYLENEDIOXYMETHYLAMPHETAMINE (MDMA, ECSTASY)"	"3,4-METHYLENEDIOXYMETHYLAMPHETAMINE (MDMA, ECSTASY)"
"3,4-METHYLENEDIOXYMETHYLAMPHETAMINE (MDMA, ECSTASY)"	"3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"	"3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"
"3,4-METHYLENEDIOXYMETHYLAMPHETAMINE (MDMA)"	"3,4-METHYLENEDIOXYMETHYLAMPHETAMINE (MDMA, ECSTASY)"	"3,4-METHYLENEDIOXYMETHYLAMPHETAMINE (MDMA, ECSTASY)"
"3,4-METHYLENEDIXOYMETHAMPHETAMINE (MDMA)"	"3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"	"3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"
"3,5‑TRINITROPERHYDRO‑1,3,5‑TRIAZINE (RDX)"	CYCLOTRIMETHYLENE-TRINITRAMINE (RDX)	CYCLOTRIMETHYLENE-TRINITRAMINE (RDX)
"3,5‑TRINITROPERHYDRO‑1,3,5‑TRIAZINE (RDX)"	CYCLOTRIMETHYLENE-TRINITRAMINE (RDX)	CYCLOTRIMETHYLENE-TRINITRAMINE (RDX)
"3,6-DINITROPYRAZOLO[4,3-C]-PYRAZOLE"	"3,6-DINITROPYRAZOLOPYRAZOLE (DNPP)"	"3,6-DINITROPYRAZOLOPYRAZOLE (DNPP)"
"3‑NITRO‑1,2,4‑TRIAZOL‑3‑ONE"	"3-NITRO-1,2,4-TRIAZOL-5-ONE (NTO)"	"3-NITRO-1,2,4-TRIAZOL-5-ONE (NTO)"
"3‑NITRO‑1,2,4‑TRIAZOLIN‑5‑ONE (NTO)"	"3-NITRO-1,2,4-TRIAZOL-5-ONE (NTO)"	"3-NITRO-1,2,4-TRIAZOL-5-ONE (NTO)"
3D FLUORESCENCE	FLUORESCENCE	FLUORESCENCE
3D FLUORESCENCES	FLUORESCENCE	FLUORESCENCE
4 10 DINITRO 2 6 8 12 TETRAOXA 4 10 DIAZAWURTZITANE TEX	"4,10-DINITRO-2,6,8,12-TETRAOXA-4,10-DIAZAWURTZITANE (TEX)"	"4,10-DINITRO-2,6,8,12-TETRAOXA-4,10-DIAZAWURTZITANE (TEX)"
4 6 DINITROBENZOFUROXAN	"4,6-DINITROBENZOFUROXAN (DNBF)"	"4,6-DINITROBENZOFUROXAN (DNBF)"
4 6 DINITROBENZOFUROXAN DNBF	"4,6-DINITROBENZOFUROXAN (DNBF)"	"4,6-DINITROBENZOFUROXAN (DNBF)"
4 METHOXYAMPHETAMINE	4-METHOXYAMPHETAMINE (4-MA)	4-METHOXYAMPHETAMINE (4-MA)
4-ADNT	"4-AMINO-2,6-DINITROTOLUENE (4-ADNT)"	"4-AMINO-2,6-DINITROTOLUENE (4-ADNT)"
4-AMINODINITROTOLUENE	"4-AMINO-2,6-DINITROTOLUENE (4-ADNT)"	"4-AMINO-2,6-DINITROTOLUENE (4-ADNT)"
4-METHYLENEDIOXYMETHAMPHETAMINE	"3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"	"3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"
4-METHYLTHIOAMPHETAM INE	4-METHYLTHIOAMPHETAMINE (4-MTA)	4-METHYLTHIOAMPHETAMINE (4-MTA)
4-METHYLTHIOAMPHETAMINE	4-METHYLTHIOAMPHETAMINE (4-MTA)	4-METHYLTHIOAMPHETAMINE (4-MTA)
4-MTA	4-METHYLTHIOAMPHETAMINE (4-MTA)	4-METHYLTHIOAMPHETAMINE (4-MTA)
4-NITROTOLUENE	NITROTOLUENE (NT)	NITROTOLUENE (NT)
"4,10-DINITRO-2,6,8,12-TETRAOXA-4,10-DIAZATETRACYCLO[5.5.0.05,903,11]-DODECANE"	"4,10-DINITRO-2,6,8,12-TETRAOXA-4,10-DIAZAWURTZITANE (TEX)"	"4,10-DINITRO-2,6,8,12-TETRAOXA-4,10-DIAZAWURTZITANE (TEX)"
"4,10-DINITRO-2,6,8,12-TETRAOXA-4,10-DIAZAWURTZITANE"	"4,10-DINITRO-2,6,8,12-TETRAOXA-4,10-DIAZAWURTZITANE (TEX)"	"4,10-DINITRO-2,6,8,12-TETRAOXA-4,10-DIAZAWURTZITANE (TEX)"
"4,6-DNBF"	"4,6-DINITROBENZOFUROXAN (DNBF)"	"4,6-DINITROBENZOFUROXAN (DNBF)"
5 5 BISTETRAZOLE 1 1 DIOLATE TKX 50	"5,5′-BISTETRAZOLE-1,1′-DIOLATE (TKX-50)"	"5,5′-BISTETRAZOLE-1,1′-DIOLATE (TKX-50)"
5-HT2A RECEPTORS	5-HT2A RECEPTOR	5-HT2A RECEPTOR
"5-NITRO-2,4-DIHYDRO-3H-1,2,4-TRIAZOL-3-ONE"	"3-NITRO-1,2,4-TRIAZOL-5-ONE (NTO)"	"3-NITRO-1,2,4-TRIAZOL-5-ONE (NTO)"
5-TNB	"1,3,5-TRINITROBENZENE (TNB)"	"1,3,5-TRINITROBENZENE (TNB)"
"5,5′-BIS(2,4,6-TRINITROPHENYL)-2,2′-BIS(1,3,4-OXADIAZOLE)"	"5,5′-BIS(2,4,6-TRINITROPHENYL)-2,2′-BIS(1,3,4-OXADIAZOLE) (TKX-55)"	"5,5′-BIS(2,4,6-TRINITROPHENYL)-2,2′-BIS(1,3,4-OXADIAZOLE) (TKX-55)"
"5,5′-BISTETRAZOLE-1,1′-DIOLATE"	"5,5′-BISTETRAZOLE-1,1′-DIOLATE (TKX-50)"	"5,5′-BISTETRAZOLE-1,1′-DIOLATE (TKX-50)"
6-TRINITROTOLUENE (TNT)	"2,4,6-TRINITROTOLUENE (TNT)"	"2,4,6-TRINITROTOLUENE (TNT)"
8-DIAZOFLUOREN	"1,8-DIAZAFLUOREN-9-ONE(DFO)"	"1,8-DIAZAFLUOREN-9-ONE(DFO)"
A1. RDX	CYCLOTRIMETHYLENE-TRINITRAMINE (RDX)	CYCLOTRIMETHYLENE-TRINITRAMINE (RDX)
AB INITIO CALCULATIONS	AB INITIO CALCULATION	AB INITIO CALCULATION
ABLATION OF ORGANIC MATERIALS	ABLATION	ABLATION
ABUSE DETERRENT	ABUSE-DETERRENT	ABUSE-DETERRENT
ABUSE DETERRENT FORMULATION	ABUSE-DETERRENT FORMULATION	ABUSE-DETERRENT FORMULATION
ABUSE DRUG	ABUSED DRUG	ABUSED DRUG
ABUSE-DETERRENT FORMULATIONS	ABUSE-DETERRENT FORMULATION	ABUSE-DETERRENT FORMULATION
ABUSED DRUGS	ABUSED DRUG	ABUSED DRUG
ACCIDENT PREVENTION - LEGISLATION	ACCIDENT PREVENTION	ACCIDENT PREVENTION
ACCIDENT PREVENTION - STANDARDS	ACCIDENT PREVENTION	ACCIDENT PREVENTION
ACCIDENT PREVENTION - TESTING	ACCIDENT PREVENTION	ACCIDENT PREVENTION
ACCIDENT PREVENTION--HUMAN FACTORS	ACCIDENT PREVENTION	ACCIDENT PREVENTION
ACCIDENT PREVENTION--INSTRUMENTS	ACCIDENT PREVENTION	ACCIDENT PREVENTION
ACCIDENT PREVENTION--STANDARDS	ACCIDENT PREVENTION	ACCIDENT PREVENTION
ACCIDENT TRAFFIC	TRAFFIC ACCIDENT	TRAFFIC ACCIDENT
ACCIDENTS	ACCIDENT	ACCIDENT
ACCIDENTS TRAFFIC	TRAFFIC ACCIDENT	TRAFFIC ACCIDENT
"ACCIDENTS, AVIATION"	ACCIDENT	ACCIDENT
"ACCIDENTS, OCCUPATIONAL"	ACCIDENT	ACCIDENT
"ACCIDENTS, OCCUPATIONAL"	OCCUPATIONAL ACCIDENT	OCCUPATIONAL ACCIDENT
