"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Kositsyna O.S.; Nesterova O.Y.","Kositsyna, Olena S. (55226633000); Nesterova, Olena Yu. (16459921700)","55226633000; 16459921700","Modern directions of scientific engineering of the burning rate modifiers for composite solid propellants","2019","Journal of Chemistry and Technologies","27","2","","179","200","21","2","10.15421/081919","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086338851&doi=10.15421%2f081919&partnerID=40&md5=f7a620f6e6f93d946ff08f3058088d99","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85086338851"
"Joshi A.; Mer K.K.S.; Bhattacharya S.; Patel V.K.","Joshi, Amit (7402453010); Mer, K.K.S. (57190568304); Bhattacharya, Shantanu (55357313900); Patel, Vinay K. (55633620800)","7402453010; 57190568304; 55357313900; 55633620800","Different Approaches to Micro-/Nanofabricate and Pattern Energetic Materials","2019","Energy, Environment, and Sustainability","","","","177","188","11","3","10.1007/978-981-13-3269-2_8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073624875&doi=10.1007%2f978-981-13-3269-2_8&partnerID=40&md5=e4275db8c7f8b5f10b82d5c8c73a368b","Book chapter","Final","","Scopus","2-s2.0-85073624875"
"Singh H.; Banerjee S.","Singh, Hema (55392142200); Banerjee, Shaibal (55266242200)","55392142200; 55266242200","Nanostructured Energetic Composites: An Emerging Paradigm","2019","Energy, Environment, and Sustainability","","","","37","80","43","1","10.1007/978-981-13-3269-2_3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102873996&doi=10.1007%2f978-981-13-3269-2_3&partnerID=40&md5=ec497b42e716faa0e94edd6f6702e645","Book chapter","Final","","Scopus","2-s2.0-85102873996"
"Wurzenberger M.H.H.; Gruhne M.S.; Lommel M.; Szimhardt N.; Klapötke T.M.; Stierstorfer J.","Wurzenberger, Maximilian H. H. (57197812652); Gruhne, Michael S. (57203499478); Lommel, Marcus (57203504231); Szimhardt, Norbert (55764562900); Klapötke, Thomas M. (7102225410); Stierstorfer, Jörg (22956620000)","57197812652; 57203499478; 57203504231; 55764562900; 7102225410; 22956620000","Comparison of 1-Ethyl-5H-tetrazole and 1-Azidoethyl-5H-tetrazole as Ligands in Energetic Transition Metal Complexes","2019","Chemistry - An Asian Journal","14","11","","2018","2028","10","47","10.1002/asia.201900269","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065393986&doi=10.1002%2fasia.201900269&partnerID=40&md5=be7a174b8a399a7d534f80168f7b5f18","Article","Final","","Scopus","2-s2.0-85065393986"
"Li J.; Ma Q.; Tang S.-H.; Fan G.-J.","Li, Jie (57215215175); Ma, Qing (55461820400); Tang, Shui-Hua (8909095000); Fan, Gui-Juan (55568138300)","57215215175; 55461820400; 8909095000; 55568138300","Crystal Structure and Thermal Decomposition Properties of N, N ' -Bis (2-fluoro-2, 2 ' -dinitroethyl)-3, 4-dinitraminefurazan; [N, N ' -二(氟偕二硝基乙基)-3, 4-二硝胺呋咱(LLM-209)的晶体结构及热分解性质]","2019","Hanneng Cailiao/Chinese Journal of Energetic Materials","27","1","","41","46","5","4","10.11943/CJEM2018072","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064216968&doi=10.11943%2fCJEM2018072&partnerID=40&md5=342b01324c984f4803c8f6a447544b0e","Article","Final","","Scopus","2-s2.0-85064216968"
"Barnes B.C.; Brennan J.K.; Byrd E.F.C.; Izvekov S.; Larentzos J.P.; Rice B.M.","Barnes, Brian C. (36845384400); Brennan, John K. (7201397785); Byrd, Edward F. C. (7003340061); Izvekov, Sergei (6602751964); Larentzos, James P. (16242023500); Rice, Betsy M. (7201418020)","36845384400; 7201397785; 7003340061; 6602751964; 16242023500; 7201418020","Toward a Predictive Hierarchical Multiscale Modeling Approach for Energetic Materials","2019","Challenges and Advances in Computational Chemistry and Physics","28","","","229","282","53","21","10.1007/978-3-030-05600-1_10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071625621&doi=10.1007%2f978-3-030-05600-1_10&partnerID=40&md5=078cc9513100b6485fbbd19c29f3b8d6","Book chapter","Final","","Scopus","2-s2.0-85071625621"
"Abd-Elghany M.; Klapötke T.M.","Abd-Elghany, Mohamed (35931908400); Klapötke, Thomas M. (7102225410)","35931908400; 7102225410","A review on differential scanning calorimetry technique and its importance in the field of energetic materials","2018","Physical Sciences Reviews","3","4","20170103","","","","29","10.1515/psr-2017-0103","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077367974&doi=10.1515%2fpsr-2017-0103&partnerID=40&md5=0810f1711d2921d03d9943e2ae69eb9a","Article","Final","","Scopus","2-s2.0-85077367974"
"Yang T.; Zhang J.-G.; Zhang Z.-B.; Gozin M.","Yang, Ting (57193320408); Zhang, Jian-Guo (57300080700); Zhang, Zhi-Bin (57113799800); Gozin, Michael (8908304900)","57193320408; 57300080700; 57113799800; 8908304900","Nitrogen-rich salts of 5,5′-bistetrazole-1,1′-diolate: Syntheses, structures and properties","2018","Journal of Molecular Structure","1156","","","544","549","5","12","10.1016/j.molstruc.2017.11.108","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85037537090&doi=10.1016%2fj.molstruc.2017.11.108&partnerID=40&md5=b494eb48e552e45e25fa84b15174eedf","Article","Final","","Scopus","2-s2.0-85037537090"
"Mutlu M.; Kang J.-H.; Raza Sø.; Schoen D.; Zheng X.; Kik P.G.; Brongersma M.L.","Mutlu, Mehmet (57202957636); Kang, Ju-Hyung (35753290500); Raza, Søren (7102353057); Schoen, David (15763805400); Zheng, Xiaolin (57203664913); Kik, Pieter G. (6603691910); Brongersma, Mark L. (6603867126)","57202957636; 35753290500; 7102353057; 15763805400; 57203664913; 6603691910; 6603867126","Thermoplasmonic Ignition of Metal Nanoparticles","2018","Nano Letters","18","3","","1699","1706","7","31","10.1021/acs.nanolett.7b04739","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043790457&doi=10.1021%2facs.nanolett.7b04739&partnerID=40&md5=5f26f3efc5f0933c543e8f61ec6a38f3","Article","Final","","Scopus","2-s2.0-85043790457"
"Wang G.; Lu T.; Fan G.; Li C.; Yin H.; Chen F.-X.","Wang, Guilong (57193333180); Lu, Tian (57194280501); Fan, Guijuan (55568138300); Li, Chengqiu (57204432927); Yin, Hongquan (8985829300); Chen, Fu-Xue (7404906845)","57193333180; 57194280501; 55568138300; 57204432927; 8985829300; 7404906845","The Chemistry and Properties of Energetic Materials Bearing [1,2,4]Triazolo[4,3-b][1,2,4,5]tetrazine Fused Rings","2018","Chemistry - An Asian Journal","13","23","","3718","3722","4","25","10.1002/asia.201801145","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055553953&doi=10.1002%2fasia.201801145&partnerID=40&md5=d85a6f9f35fa68653969c61202fc647f","Article","Final","","Scopus","2-s2.0-85055553953"
"Wang Y.; Song X.-L.; Huang H.; Li F.-S.","Wang, Yi (56021343000); Song, Xiao-Lan (54581594400); Huang, Hao (57199060034); Li, Feng-Sheng (8938827200)","56021343000; 54581594400; 57199060034; 8938827200","An Elementary Fractal Thermal Conduction Theory Model for Nanometer Energetic Materials; [纳米含能材料的一个基本分形热传导理论模型]","2018","Huozhayao Xuebao/Chinese Journal of Explosives and Propellants","41","6","","554","561","7","6","10.14077/j.issn.1007-7812.2018.06.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060574116&doi=10.14077%2fj.issn.1007-7812.2018.06.004&partnerID=40&md5=a528f19b4707fd02a561d224876d4b16","Article","Final","","Scopus","2-s2.0-85060574116"
"Yan Q.-L.; Liu P.-J.; He A.-F.; Zhang J.-K.; Ma Y.; Hao H.-X.; Zhao F.-Q.; Gozin M.","Yan, Qi-Long (57125375900); Liu, Pei-Jin (26638308900); He, Ai-Feng (35200773100); Zhang, Jian-Kan (57190049455); Ma, Yue (56984674200); Hao, Hai-Xia (8715239800); Zhao, Feng-Qi (36041628300); Gozin, Michael (8908304900)","57125375900; 26638308900; 35200773100; 57190049455; 56984674200; 8715239800; 36041628300; 8908304900","Photosensitive but mechanically insensitive graphene oxide-carbohydrazide-metal hybrid crystalline energetic nanomaterials","2018","Chemical Engineering Journal","338","","","240","247","7","36","10.1016/j.cej.2017.12.140","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044729533&doi=10.1016%2fj.cej.2017.12.140&partnerID=40&md5=273bf53ed511e69602557474ddae98f0","Article","Final","","Scopus","2-s2.0-85044729533"
"Ciammaruchi L.; Oliveira R.; Charas A.; Tulus; Von Hauff E.; Polino G.; Brunetti F.; Hansson R.; Moons E.; Krassas M.; Kakavelakis G.; Kymakis E.; Sánchez J.G.; Ferre-Borrull J.; Marsal L.F.; Züfle S.; Fluhr D.; Roesch R.; Faber T.; Schubert U.S.; Hoppe H.; Bakker K.; Veenstra S.; Zanotti G.; Katz E.A.; Apilo P.; Romero B.; Tumay T.A.; Parlak E.; Stagno L.M.; Turkovic V.; Rubahn H.-G.; Madsen M.; Kažukauskas V.; Tanenbaum D.M.; Shanmugam S.; Galagan Y.","Ciammaruchi, Laura (54901953800); Oliveira, Ricardo (57214731401); Charas, Ana (6602748474); Tulus (57202609318); Von Hauff, Elizabeth (8380915400); Polino, Giuseppina (56012999800); Brunetti, Francesca (14008037600); Hansson, Rickard (56437420900); Moons, Ellen (7004606769); Krassas, Miron (56811704000); Kakavelakis, George (55842510100); Kymakis, Emmanuel (13104421800); Sánchez, José G. (55693726500); Ferre-Borrull, Josep (6701731108); Marsal, Lluis F. (7005703788); Züfle, Simon (26642210100); Fluhr, Daniel (56786253300); Roesch, Roland (36683099000); Faber, Tobias (56909695100); Schubert, Ulrich S. (55154772500); Hoppe, Harald (7103057354); Bakker, Klaas (57204947389); Veenstra, Sjoerd (7003834118); Zanotti, Gloria (35078007900); Katz, Eugene A. (55214631200); Apilo, Pälvi (57202243395); Romero, Beatriz (7006475439); Tumay, Tülay Asll (14066672900); Parlak, Elif (9734538800); Stagno, Luciano Mule (57195595025); Turkovic, Vida (51864745500); Rubahn, Horst-Günter (7004751988); Madsen, Morten (55141914700); Kažukauskas, Vaidotas (7003516217); Tanenbaum, David M. (6603934206); Shanmugam, Santhosh (56536242800); Galagan, Yulia (24436395400)","54901953800; 57214731401; 6602748474; 57202609318; 8380915400; 56012999800; 14008037600; 56437420900; 7004606769; 56811704000; 55842510100; 13104421800; 55693726500; 6701731108; 7005703788; 26642210100; 56786253300; 36683099000; 56909695100; 55154772500; 7103057354; 57204947389; 7003834118; 35078007900; 55214631200; 57202243395; 7006475439; 14066672900; 9734538800; 57195595025; 51864745500; 7004751988; 55141914700; 7003516217; 6603934206; 56536242800; 24436395400","Stability of organic solar cells with PCDTBT donor polymer: An interlaboratory study","2018","Journal of Materials Research","33","13","","1909","1924","15","17","10.1557/jmr.2018.163","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048888281&doi=10.1557%2fjmr.2018.163&partnerID=40&md5=c4d6f5a453007cc398cc2eef902e59ac","Article","Final","","Scopus","2-s2.0-85048888281"
"Yan Q.-L.; Gozin M.; Liu P.-J.; He G.-Q.","Yan, Qi-Long (57125375900); Gozin, Michael (8908304900); Liu, Pei-Jin (26638308900); He, Guo-Qiang (55507542200)","57125375900; 8908304900; 26638308900; 55507542200","Insensitive Energetic Materials Containing Two-Dimensional Nanostructures as Building Blocks","2018","Nanomaterials in Rocket Propulsion Systems","","","","81","111","30","7","10.1016/B978-0-12-813908-0.00003-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080037423&doi=10.1016%2fB978-0-12-813908-0.00003-4&partnerID=40&md5=d49c8d952e1bab63eb52eed831c13095","Book chapter","Final","","Scopus","2-s2.0-85080037423"
"Xiong H.-L.; Yang H.-W.; Cheng G.-B.","Xiong, Hua-Lin (57193389539); Yang, Hong-Wei (57071863200); Cheng, Guang-Bin (7401862416)","57193389539; 57071863200; 7401862416","Synthesis of Energetic Salts Based on 5,5'-Dinitroamino-2,2'-bi(1,3,4-oxadiazole); [5,5'-二硝胺基-2,2'-联-1,3,4-噁二唑含能离子盐的合成及性能]","2018","Hanneng Cailiao/Chinese Journal of Energetic Materials","26","11","","910","918","8","3","10.11943/CJEM2018142","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058883393&doi=10.11943%2fCJEM2018142&partnerID=40&md5=5a9ecb9ed4120b13d7fec7b520489489","Article","Final","","Scopus","2-s2.0-85058883393"
"Pan Y.-F.; Wang Y.-L.; Zhao B.-D.; Gao F.-L.; Chen B.; Liu Y.-J.","Pan, Yong-Fei (55972214800); Wang, Ying-Lei (35188154900); Zhao, Bao-Dong (57204103070); Gao, Fu-Lei (37005573200); Chen, Bin (57198480582); Liu, Ya-Jing (35307357200)","55972214800; 35188154900; 57204103070; 37005573200; 57198480582; 35307357200","Research Progress in Synthesis, Properties and Applications of Nitropyrazoles and Their Derivatives; [硝基吡唑及其衍生物的合成,性能及应用研究进展]","2018","Hanneng Cailiao/Chinese Journal of Energetic Materials","26","9","","796","812","16","6","10.11943/CJEM2018097","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057872034&doi=10.11943%2fCJEM2018097&partnerID=40&md5=818bd107d256709fb9d459517a3512ac","Review","Final","","Scopus","2-s2.0-85057872034"
"Sasidharan N.; Kumar A.S.; Hng H.H.","Sasidharan, Nimesh (37091703700); Kumar, A. Sudheer (55546767300); Hng, Huey Hoon (35562652700)","37091703700; 55546767300; 35562652700","Combustion Studies of 4-Nitramino-1,2,4-Triazole (4-NRTZ) and Its Salts: High Impulse Nitrogenous Fuels for Propellant Composite Materials","2018","ChemistrySelect","3","44","","12544","12551","7","3","10.1002/slct.201803239","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057596222&doi=10.1002%2fslct.201803239&partnerID=40&md5=60df5277426b748a8a13e997a1595a6a","Article","Final","","Scopus","2-s2.0-85057596222"
"Fähler S.; Pecharsky V.K.","Fähler, Sebastian (8264158400); Pecharsky, Vitalij K. (7004560854)","8264158400; 7004560854","Caloric effects in ferroic materials","2018","MRS Bulletin","43","4","","264","268","4","60","10.1557/mrs.2018.66","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045211211&doi=10.1557%2fmrs.2018.66&partnerID=40&md5=05ccb32dbfc1a40737bf35be5d80e6be","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85045211211"
"Tang Y.; He C.; Yin P.; Imler G.H.; Parrish D.A.; Shreeve J.M.","Tang, Yongxing (55521253600); He, Chunlin (57200218016); Yin, Ping (56421457800); Imler, Gregory H. (36657222300); Parrish, Damon A. (7102736769); Shreeve, Jean'ne M. (35492643300)","55521253600; 57200218016; 56421457800; 36657222300; 7102736769; 35492643300","Energetic Functionalized Azido/Nitro Imidazole Fused 1,2,3,4-Tetrazine","2018","European Journal of Organic Chemistry","2018","19","","2273","2276","3","31","10.1002/ejoc.201800347","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047665048&doi=10.1002%2fejoc.201800347&partnerID=40&md5=941e2f05929c8a38029eda1bafec5be5","Article","Final","","Scopus","2-s2.0-85047665048"
"Witkowski T.G.; Richardson P.; Gabidullin B.; Hu A.; Murugesu M.","Witkowski, Tomasz G. (56509220200); Richardson, Paul (57201101776); Gabidullin, Bulat (42961467100); Hu, Anguang (52963849100); Murugesu, Muralee (6603183759)","56509220200; 57201101776; 42961467100; 52963849100; 6603183759","Synthesis and Investigation of 2,3,5,6-Tetra-(1H-tetrazol-5-yl)pyrazine Based Energetic Materials","2018","ChemPlusChem","83","11","","984","990","6","9","10.1002/cplu.201800414","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054684403&doi=10.1002%2fcplu.201800414&partnerID=40&md5=1103cbcd934faa921497c7ec2100f531","Article","Final","","Scopus","2-s2.0-85054684403"
"Yakushev V.V.; Ananev S.Y.; Utkin A.V.; Zhukov A.N.; Dolgoborodov A.Y.","Yakushev, V.V. (57205536033); Ananev, S. Yu. (57132941000); Utkin, A.V. (55389466900); Zhukov, A.N. (7403142717); Dolgoborodov, A. Yu. (6603540794)","57205536033; 57132941000; 55389466900; 7403142717; 6603540794","Shock Compressibility of Mixtures of Micro- and Nano-Sized Nickel and Aluminum Powders","2018","Combustion, Explosion and Shock Waves","54","5","","552","557","5","7","10.1134/S0010508218050064","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056783225&doi=10.1134%2fS0010508218050064&partnerID=40&md5=ad8662d7d0cebcd1ee7638147748ea9a","Article","Final","","Scopus","2-s2.0-85056783225"
"Mattox T.I.; Larentzos J.P.; Moore S.G.; Stone C.P.; Ibanez D.A.; Thompson A.P.; Lísal M.; Brennan J.K.; Plimpton S.J.","Mattox, Timothy I. (7004843279); Larentzos, James P. (16242023500); Moore, Stan G. (35230528900); Stone, Christopher P. (57551741700); Ibanez, Daniel A. (54395427000); Thompson, Aidan P. (7404597241); Lísal, Martin (7004646871); Brennan, John K. (7201397785); Plimpton, Steven J. (7004227964)","7004843279; 16242023500; 35230528900; 57551741700; 54395427000; 7404597241; 7004646871; 7201397785; 7004227964","Highly scalable discrete-particle simulations with novel coarse-graining: accessing the microscale","2018","Molecular Physics","116","15-16","","2061","2069","8","15","10.1080/00268976.2018.1471532","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046903325&doi=10.1080%2f00268976.2018.1471532&partnerID=40&md5=def2473057bcfeb0a902b04dd07e8152","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85046903325"
"Guo T.; Wang Z.; Huo H.; Tang W.; Zhu Y.; Bi F.; Wang B.; Meng Z.; Ge Z.","Guo, Tao (55234731900); Wang, Zijun (56608316000); Huo, Huan (23979911400); Tang, Wang (55440102500); Zhu, Yong (55568078200); Bi, Fuqiang (35190175300); Wang, Bozhou (7405921427); Meng, Zihui (7201894774); Ge, Zhongxue (17342087100)","55234731900; 56608316000; 23979911400; 55440102500; 55568078200; 35190175300; 7405921427; 7201894774; 17342087100","An Efficient Method of Preparation and Comprehensive Properties for Energetic Salts Based on Nitrofurazan-Functionalized Hydroxytetrazoles","2018","ChemistrySelect","3","42","","11835","11841","6","7","10.1002/slct.201802791","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056762426&doi=10.1002%2fslct.201802791&partnerID=40&md5=13b36c93e2d7e81ca0905d22d790ac91","Article","Final","","Scopus","2-s2.0-85056762426"
"Su H.; Du Y.; Zhang J.; Peng P.; Li S.; Chen P.; Gozin M.; Pang S.","Su, Hui (56237634300); Du, Yao (57191588828); Zhang, Jichuan (55971511700); Peng, Panpan (57194639406); Li, Shenghua (55741020100); Chen, Pengwan (7408353630); Gozin, Michael (8908304900); Pang, Siping (7402528750)","56237634300; 57191588828; 55971511700; 57194639406; 55741020100; 7408353630; 8908304900; 7402528750","Stabilizing Metastable Polymorphs of Metal-Organic Frameworks via Encapsulation of Graphene Oxide and Mechanistic Studies","2018","ACS Applied Materials and Interfaces","10","38","","32828","32837","9","17","10.1021/acsami.8b09284","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053477508&doi=10.1021%2facsami.8b09284&partnerID=40&md5=a00f2b2b44cb747b1a6fe8e5cc1eab17","Article","Final","","Scopus","2-s2.0-85053477508"
"Hu G.; Lei J.-L.; Ning H.-L.; Li H.; Sun G.-A.; Gong J.; Bai L.-F.; Yang H.-J.","Hu, Gang (57198882665); Lei, Jian-Lei (57194769043); Ning, Hong-Li (57189465507); Li, Hao (57213976062); Sun, Guang-Ai (57203893983); Gong, Jian (56443191500); Bai, Liang-Fei (25960667400); Yang, Hai-Jun (57194780361)","57198882665; 57194769043; 57189465507; 57213976062; 57203893983; 56443191500; 25960667400; 57194780361","Synthesis of β-Phase Deuterated Octogen (β-HMX-d8); [β型氘代奥克托今(β-HMX-d8)的合成]","2018","Hanneng Cailiao/Chinese Journal of Energetic Materials","26","6","","502","510","8","1","10.11943/j.issn.1006-9941.2018.06.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052004904&doi=10.11943%2fj.issn.1006-9941.2018.06.007&partnerID=40&md5=b167b40bf408bbf103c13e11cc67fdf3","Article","Final","","Scopus","2-s2.0-85052004904"
"Bölter M.F.; Harter A.; Klapötke T.M.; Stierstorfer J.","Bölter, Marc F. (57193889365); Harter, Alexander (57203724311); Klapötke, Thomas M. (7102225410); Stierstorfer, Jörg (22956620000)","57193889365; 57203724311; 7102225410; 22956620000","Isomers of Dinitropyrazoles: Synthesis, Comparison and Tuning of their Physicochemical Properties","2018","ChemPlusChem","83","8","","804","811","7","32","10.1002/cplu.201800318","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052753964&doi=10.1002%2fcplu.201800318&partnerID=40&md5=bff151c8ae8d92a187a6542085aef4d7","Article","Final","","Scopus","2-s2.0-85052753964"
"Huang H.; Huang H.","Huang, Hui (56290102600); Huang, Hengjian (8291297700)","56290102600; 8291297700","Insights into the Development for Post-CHNO Energetic Materials; [后CHNO类含能材料的发展思考]","2018","Materials China","37","11","","889","895","6","10","10.7502/j.issn.1674-3962.2018.11.06","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065448413&doi=10.7502%2fj.issn.1674-3962.2018.11.06&partnerID=40&md5=cbab8ac587cf6fe74f9269463fb6e7fe","Article","Final","","Scopus","2-s2.0-85065448413"
"Kuperman R.G.; Checkai R.T.; Simini M.; Sunahara G.I.; Hawari J.","Kuperman, Roman G. (6701858580); Checkai, Ronald T. (6603262620); Simini, Michael (57205383314); Sunahara, Geoffrey I. (7004115091); Hawari, Jalal (23070628100)","6701858580; 6603262620; 57205383314; 7004115091; 23070628100","Energetic contaminants inhibit plant litter decomposition in soil","2018","Ecotoxicology and Environmental Safety","153","","","32","39","7","0","10.1016/j.ecoenv.2018.01.052","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042375074&doi=10.1016%2fj.ecoenv.2018.01.052&partnerID=40&md5=e19e461637c869641e1a5723849adeff","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85042375074"
"Prakash C.; Gunduz I.E.; Oskay C.; Tomar V.","Prakash, Chandra (57217466729); Gunduz, I. Emre (8440447600); Oskay, Caglar (6506573868); Tomar, Vikas (7004070970)","57217466729; 8440447600; 6506573868; 7004070970","Effect of interface chemistry and strain rate on particle-matrix delamination in an energetic material","2018","Engineering Fracture Mechanics","191","","","46","64","18","52","10.1016/j.engfracmech.2018.01.010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041491604&doi=10.1016%2fj.engfracmech.2018.01.010&partnerID=40&md5=87cc6ed222485dd7ed95f18177d512a1","Article","Final","","Scopus","2-s2.0-85041491604"
"Xu Y.; Lin Q.; Wang P.; Lu M.","Xu, Yuangang (57192081451); Lin, Qiuhan (36140665200); Wang, Pengcheng (56237289100); Lu, Ming (56233529100)","57192081451; 36140665200; 56237289100; 56233529100","Syntheses, Crystal Structures and Properties of a Series of 3D Metal–Inorganic Frameworks Containing Pentazolate Anion","2018","Chemistry - An Asian Journal","13","13","","1669","1673","4","75","10.1002/asia.201800476","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047741914&doi=10.1002%2fasia.201800476&partnerID=40&md5=c72525bfbc33667aeb1d45f1bd4b8f3d","Article","Final","","Scopus","2-s2.0-85047741914"
"Qin L.; Yan N.; Hao H.; An T.; Zhao F.; Feng H.","Qin, Lijun (55938175700); Yan, Ning (57203904048); Hao, Haixia (8715239800); An, Ting (36245123800); Zhao, Fengqi (36041628300); Feng, Hao (36056472100)","55938175700; 57203904048; 8715239800; 36245123800; 36041628300; 36056472100","Surface engineering of zirconium particles by molecular layer deposition: Significantly enhanced electrostatic safety at minimum loss of the energy density","2018","Applied Surface Science","436","","","548","555","7","10","10.1016/j.apsusc.2017.12.042","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85037986955&doi=10.1016%2fj.apsusc.2017.12.042&partnerID=40&md5=d75abdafcd2938d269c03ef2806a8e49","Article","Final","","Scopus","2-s2.0-85037986955"
"Jiang Y.; Deng S.; Hong S.; Zhao J.; Huang S.; Wu C.-C.; Gottfried J.L.; Nomura K.-I.; Li Y.; Tiwari S.; Kalia R.K.; Vashishta P.; Nakano A.; Zheng X.","Jiang, Yue (57202146912); Deng, Sili (57215603386); Hong, Sungwook (56764860400); Zhao, Jiheng (56707752300); Huang, Sidi (57192834211); Wu, Chi-Chin (57199393287); Gottfried, Jennifer L. (15070152000); Nomura, Ken-Ichi (57190044129); Li, Ying (55881872700); Tiwari, Subodh (55308448800); Kalia, Rajiv K. (7005712161); Vashishta, Priya (57203052622); Nakano, Aiichiro (57203054096); Zheng, Xiaolin (35175148200)","57202146912; 57215603386; 56764860400; 56707752300; 57192834211; 57199393287; 15070152000; 57190044129; 55881872700; 55308448800; 7005712161; 57203052622; 57203054096; 35175148200","Energetic Performance of Optically Activated Aluminum/Graphene Oxide Composites","2018","ACS Nano","12","11","","11366","11375","9","106","10.1021/acsnano.8b06217","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055271266&doi=10.1021%2facsnano.8b06217&partnerID=40&md5=b686899df67c1d03cf56dc08265810a2","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85055271266"
"Xu Y.; Zhu Z.; Shen C.; Lin Q.; Lu M.","Xu, Yuangang (57192081451); Zhu, Zhongqin (56004402700); Shen, Cheng (56498302000); Lin, Qiuhan (36140665200); Lu, Ming (56233529100)","57192081451; 56004402700; 56498302000; 36140665200; 56233529100","In situ Synthesized Energetic Salts Based on the C−N Fused Tricyclic 3,9-Diamine-6,7-Dihydro-Bis(triazolo)-Tetrazepine Cation: A Family of High-Performance Energetic Materials","2018","Propellants, Explosives, Pyrotechnics","43","6","","595","601","6","14","10.1002/prep.201800021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046372413&doi=10.1002%2fprep.201800021&partnerID=40&md5=6d33101ea955a323413b91a8b431bb13","Article","Final","","Scopus","2-s2.0-85046372413"
"Sun Q.; Liu Y.; Li X.; Lu M.; Lin Q.","Sun, Qi (57194695507); Liu, Yang (57192564167); Li, Xin (57775371900); Lu, Ming (56233529100); Lin, Qiuhan (36140665200)","57194695507; 57192564167; 57775371900; 56233529100; 36140665200","Alkali Metals-Based Energetic Coordination Polymers as Promising Primary Explosives: Crystal Structures, Energetic Properties, and Environmental Impact","2018","Chemistry - A European Journal","24","53","","14213","14219","6","31","10.1002/chem.201802494","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053072111&doi=10.1002%2fchem.201802494&partnerID=40&md5=82c7b986c9350f9b5ed669ad78b804fd","Article","Final","","Scopus","2-s2.0-85053072111"
"Giles I.D.; Dehope A.J.; Zuckerman N.B.; Parrish D.A.; Pagoria P.F.","Giles, Ian D. (57213244606); Dehope, Alan J. (15727506100); Zuckerman, Nathaniel B. (23991975500); Parrish, Damon A. (7102736769); Pagoria, Philip F. (6701335504)","57213244606; 15727506100; 23991975500; 7102736769; 6701335504","Effect of counter-ion on packing and crystal density of 5,5′-(3,3′-bi[1,2,4-oxadiazole]-5,5′-diyl)bis(1 H -tetrazol-1-olate) with five different cations","2018","Acta Crystallographica Section E: Crystallographic Communications","74","","","505","513","8","4","10.1107/S205698901800364X","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045026713&doi=10.1107%2fS205698901800364X&partnerID=40&md5=cfb129a78760ba0cadff1e14957639d3","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85045026713"
