Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,Correspondence Address,Document Type,Publication Stage,Access Type,Source,EID,Active Webpage,Report,SubEvidence,Evidence
"Walker C., Cullum H., Hiley R.",18839354400;6506829695;6701417264;,An environmental survey relating to improvised and emulsion/gel explosives,2001,Journal of Forensic Sciences,46,2,,254,267,,12,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035049019&partnerID=40&md5=50f8541a3c3bcf2373dcc0df66e5c5f8,"Forensic Explosives Laboratory, Defence Evaluation and Research Agency, Sevenoaks, Kent, TN14 7BP, United Kingdom; Defence Evaluation and Research Agency, Sevenoaks, Kent, TN14 7BP, United Kingdom","Walker, C., Forensic Explosives Laboratory, Defence Evaluation and Research Agency, Sevenoaks, Kent, TN14 7BP, United Kingdom; Cullum, H., Forensic Explosives Laboratory, Defence Evaluation and Research Agency, Sevenoaks, Kent, TN14 7BP, United Kingdom; Hiley, R., Defence Evaluation and Research Agency, Sevenoaks, Kent, TN14 7BP, United Kingdom",Emulsion explosives; Environmental survey; Forensic science; Gel explosives; Improvised explosives; Inorganic traces; Sugars,calcium; chloride; explosive; fructose; glucose; magnesium; nitrate; potassium; sodium; sucrose; sulfate; article; chromatography; emulsion; environment; explosion; forensic science; gel; priority journal; rural area; sampling; urban area,"Cullum, H.; Forensic Explosives Laboratory, DERA, Fort Halstead, Sevenoaks, Kent TN14 7BP, United Kingdom",Article,Final,,Scopus,2-s2.0-0035049019,,IFSMS 2004,Explosive Scene,Explosives
"Sanders K.P., Marshall M., Oxley J.C., Smith J.L., Egee L.",7202849928;21737576600;7004427947;7410170253;6507340786;,Preliminary investigation into the recovery of explosives from hair,2002,Science and Justice - Journal of the Forensic Science Society,42,3,,137,142,,10,10.1016/S1355-0306(02)71818-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036663157&doi=10.1016%2fS1355-0306%2802%2971818-2&partnerID=40&md5=c27695d350a496b53875eb51ad8f8b24,"Forensic Explosives Laboratory, Defence Sci./Technology Laboratory, Fort Halstead, Sevenoaks, Kent TN14 7BP, United Kingdom; University of Rhode Island, Chemistry Department, Kingston, RI 02881, United States","Sanders, K.P., Forensic Explosives Laboratory, Defence Sci./Technology Laboratory, Fort Halstead, Sevenoaks, Kent TN14 7BP, United Kingdom; Marshall, M., Forensic Explosives Laboratory, Defence Sci./Technology Laboratory, Fort Halstead, Sevenoaks, Kent TN14 7BP, United Kingdom; Oxley, J.C., Forensic Explosives Laboratory, Defence Sci./Technology Laboratory, Fort Halstead, Sevenoaks, Kent TN14 7BP, United Kingdom, University of Rhode Island, Chemistry Department, Kingston, RI 02881, United States; Smith, J.L., University of Rhode Island, Chemistry Department, Kingston, RI 02881, United States; Egee, L., University of Rhode Island, Chemistry Department, Kingston, RI 02881, United States",Explosives; Forensic Science; Hair; Recovery; Trace,"2,4 dinitrotoluene; 2,6 dinitrotoluene; cyclonite; ethylene glycol derivative; explosive; glyceryl trinitrate; nitrobenzene; pentaerythrityl tetranitrate; toluene derivative; trinitrotoluene; article; case report; chemical analysis; chromatography; exposure; extraction; hair analysis; human; quantitative assay; sampling; vapor pressure","Sanders, K.P.; Forensic Explosives Laboratory, Defence Sci./Technology Laboratory, Fort Halstead, Sevenoaks, Kent TN14 7BP, United Kingdom",Article,Final,,Scopus,2-s2.0-0036663157,,IFSMS 2004,Explosive Scene,Explosives
"Oxley J.C., Smith J.L., Resende E., Pearce E., Chamberlain T.",7004427947;7410170253;6602606518;7202372439;7003662945;,Trends in explosive contamination,2003,Journal of Forensic Sciences,48,2,,334,342,,24,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037344651&partnerID=40&md5=6594ff87fd0a8420855f569f4befdece,"Chemistry Department, University of Rhode Island, Kingston, RI, United States; Fed. Aviat. Admin. (FAA) Tech. Ctr., Atlantic City, NJ, United States; University of Rhode Island, URI Chemistry, 51 Lower College Road, Kingston, RI 02881, United States","Oxley, J.C., Chemistry Department, University of Rhode Island, Kingston, RI, United States, University of Rhode Island, URI Chemistry, 51 Lower College Road, Kingston, RI 02881, United States; Smith, J.L., Chemistry Department, University of Rhode Island, Kingston, RI, United States; Resende, E., Chemistry Department, University of Rhode Island, Kingston, RI, United States; Pearce, E., Chemistry Department, University of Rhode Island, Kingston, RI, United States; Chamberlain, T., Fed. Aviat. Admin. (FAA) Tech. Ctr., Atlantic City, NJ, United States","AN (ammonium nitrate); Explosive analysis; Explosive contamination; Explosive residue; Forensic science; PETN (pentaerythritol tetranitrate); TATP (triacetone triperoxide), RDX (hexahydro-1,3,5-trinitro-s-triazine); TNT (2,4,6-trinitrotoluene)","ammonium nitrate; cyclonite; explosive; octahydro 1,3,5,7 tetranitro 1,3,4,5 tetrazocine; pentaerythrityl tetranitrate; plastic; triacetone triperoxide; trinitrotoluene; unclassified drug; adhesion; article; chemical analysis; chemical structure; forensic science; hand; melting point; powder; priority journal; residue analysis; spillage; surface property","Oxley, J.C.; University of Rhode Island, URI Chemistry, 51 Lower College Road, Kingston, RI 02881, United States",Article,Final,,Scopus,2-s2.0-0037344651,,IFSMS 2004,Explosive Scene,Explosives
"Walker C., Cullum H., Hiley R.",18839354400;6506829695;6701417264;,An environmental survey relating to improvised and emulsion/gel explosives,2001,Journal of Forensic Sciences,46,2,,254,267,,12,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035049019&partnerID=40&md5=50f8541a3c3bcf2373dcc0df66e5c5f8,"Forensic Explosives Laboratory, Defence Evaluation and Research Agency, Sevenoaks, Kent, TN14 7BP, United Kingdom; Defence Evaluation and Research Agency, Sevenoaks, Kent, TN14 7BP, United Kingdom","Walker, C., Forensic Explosives Laboratory, Defence Evaluation and Research Agency, Sevenoaks, Kent, TN14 7BP, United Kingdom; Cullum, H., Forensic Explosives Laboratory, Defence Evaluation and Research Agency, Sevenoaks, Kent, TN14 7BP, United Kingdom; Hiley, R., Defence Evaluation and Research Agency, Sevenoaks, Kent, TN14 7BP, United Kingdom",Emulsion explosives; Environmental survey; Forensic science; Gel explosives; Improvised explosives; Inorganic traces; Sugars,calcium; chloride; explosive; fructose; glucose; magnesium; nitrate; potassium; sodium; sucrose; sulfate; article; chromatography; emulsion; environment; explosion; forensic science; gel; priority journal; rural area; sampling; urban area,"Cullum, H.; Forensic Explosives Laboratory, DERA, Fort Halstead, Sevenoaks, Kent TN14 7BP, United Kingdom",Article,Final,,Scopus,2-s2.0-0035049019,,IFSMS 2004,Explosive Scene,Explosives
"Pillai A.G.S., Sanghavi R.R., Dayanandan C.R., Joshi M.M., Velapure S.P., Singh A.",7007067884;6603275353;6505965404;7202602228;6506508827;57209902398;,Studies on RDX particle size in LOVA gun propellant formulations,2001,"Propellants, Explosives, Pyrotechnics",26,5,,226,228,,16,10.1002/1521-4087(200112)26:5<226::AID-PREP226>3.0.CO;2-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035687004&doi=10.1002%2f1521-4087%28200112%2926%3a5%3c226%3a%3aAID-PREP226%3e3.0.CO%3b2-9&partnerID=40&md5=01bd569ffb8c891e13c7edf61e89fd2c,"High Energy Materials Research Laboratory, Sutarwadi, Pune-411 021, India","Pillai, A.G.S., High Energy Materials Research Laboratory, Sutarwadi, Pune-411 021, India; Sanghavi, R.R., High Energy Materials Research Laboratory, Sutarwadi, Pune-411 021, India; Dayanandan, C.R., High Energy Materials Research Laboratory, Sutarwadi, Pune-411 021, India; Joshi, M.M., High Energy Materials Research Laboratory, Sutarwadi, Pune-411 021, India; Velapure, S.P., High Energy Materials Research Laboratory, Sutarwadi, Pune-411 021, India; Singh, A., High Energy Materials Research Laboratory, Sutarwadi, Pune-411 021, India",,Ballistics; Binders; Cellulose; Combustion; Explosives; Firing (of materials); Guns (armament); Particle size analysis; Plasticizers; Gun propellants; Propellants; Cellulose Acetate,"Sanghavi, R.R.; High Energy Materials Research Lab., Sutarwadi, Pune-411 021, India; email: root@drerdl.ren.nic.in",Article,Final,,Scopus,2-s2.0-0035687004,,IFSMS 2004,Explosive Scene,Explosives
"Crowson A., Hiley R.W., Todd C.C.",7005704097;6701417264;16507809800;,Quality assurance testing of an explosive trace analysis laboratory,2001,Journal of Forensic Sciences,46,1,,53,56,,11,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035113039&partnerID=40&md5=03d4d429bd44da1e6bc338cdf7c6cc78,"Forensic Explosives Laboratory, Defence Evaluation and Research Agency, Sevenoaks, Kent TN14 7BP, United Kingdom; Department of Chemistry and Research, Forensic Explosives Laboratory, Defence Evaluation and Research Agency, Sevenoaks, Kent TN14 7BP, United Kingdom","Crowson, A., Forensic Explosives Laboratory, Defence Evaluation and Research Agency, Sevenoaks, Kent TN14 7BP, United Kingdom; Hiley, R.W., Department of Chemistry and Research, Forensic Explosives Laboratory, Defence Evaluation and Research Agency, Sevenoaks, Kent TN14 7BP, United Kingdom; Todd, C.C., Forensic Explosives Laboratory, Defence Evaluation and Research Agency, Sevenoaks, Kent TN14 7BP, United Kingdom",Chemiluminescence; Explosives; Forensic science; Gas chromatography; Quality assurance; Trace analysis,cyclonite; dinitrotoluene; explosive; glyceryl trinitrate; pentaerythrityl tetranitrate; trinitrotoluene; unclassified drug; article; chemoluminescence; diagnostic accuracy; forensic identification; gas chromatography; laboratory diagnosis; occupational exposure; occupational toxicology; priority journal; quality control,"Todd, C.C.; Forensic Explosives Laboratory, Building S12, DERA, Fort Halstead, Sevenoaks, Kent TN14 7BP, United Kingdom",Article,Final,,Scopus,2-s2.0-0035113039,,IFSMS 2004,Explosive Scene,Explosives
"Song Y.-S., Xu J.-P., Xu G.-G.",56136429200;57196735622;8238344400;,Investigation of the raw TNT applicated in industrial explosive,2002,Huozhayao Xuebao/Chinese Journal of Explosives and Propellants,25,1,,69,70,,1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036131548&partnerID=40&md5=3771a588907aff854a38caed7dd1a99c,"Beijing Institute of Technology, Beijing 100081, China","Song, Y.-S., Beijing Institute of Technology, Beijing 100081, China; Xu, J.-P., Beijing Institute of Technology, Beijing 100081, China; Xu, G.-G., Beijing Institute of Technology, Beijing 100081, China",Industrial explosive; Raw TNT,,"Song, Y.-S.; Beijing Institute of Technology, Beijing 100081, China",Article,Final,,Scopus,2-s2.0-0036131548,,IFSMS 2004,Explosive Scene,Explosives
"Halasz A., Groom C., Zhou E., Paquet L., Beaulieu C., Deschamps S., Corriveau A., Thiboutot S., Ampleman G., Dubois C., Hawari J.",7004944366;7004153576;7102825463;7004272217;7103239535;35434967000;36862738300;6603922452;56351877500;7103326259;23070628100;,Detection of explosives and their degradation products in soil environments,2002,Journal of Chromatography A,963,01-Feb,,411,418,,123,10.1016/S0021-9673(02)00553-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037135015&doi=10.1016%2fS0021-9673%2802%2900553-8&partnerID=40&md5=7562eb2b2a43d72e35b35f71a2841259,"Biotechnology Research Institute, National Research Council Canada, 6100 Royalmount Avenue, Montreal, Que. H4P 2R2, Canada; Defence Research Establishment Valcartier, National Defence, Val BÈlair, Que. G3J 1X5, Canada","Halasz, A., Biotechnology Research Institute, National Research Council Canada, 6100 Royalmount Avenue, Montreal, Que. H4P 2R2, Canada; Groom, C., Biotechnology Research Institute, National Research Council Canada, 6100 Royalmount Avenue, Montreal, Que. H4P 2R2, Canada; Zhou, E., Biotechnology Research Institute, National Research Council Canada, 6100 Royalmount Avenue, Montreal, Que. H4P 2R2, Canada; Paquet, L., Biotechnology Research Institute, National Research Council Canada, 6100 Royalmount Avenue, Montreal, Que. H4P 2R2, Canada; Beaulieu, C., Biotechnology Research Institute, National Research Council Canada, 6100 Royalmount Avenue, Montreal, Que. H4P 2R2, Canada; Deschamps, S., Biotechnology Research Institute, National Research Council Canada, 6100 Royalmount Avenue, Montreal, Que. H4P 2R2, Canada; Corriveau, A., Biotechnology Research Institute, National Research Council Canada, 6100 Royalmount Avenue, Montreal, Que. H4P 2R2, Canada; Thiboutot, S., Defence Research Establishment Valcartier, National Defence, Val BÈlair, Que. G3J 1X5, Canada; Ampleman, G., Defence Research Establishment Valcartier, National Defence, Val BÈlair, Que. G3J 1X5, Canada; Dubois, C., Defence Research Establishment Valcartier, National Defence, Val BÈlair, Que. G3J 1X5, Canada; Hawari, J., Biotechnology Research Institute, National Research Council Canada, 6100 Royalmount Avenue, Montreal, Que. H4P 2R2, Canada",Environmental analysis; Explosives; Soil,"Acetonitrile; Carbon dioxide; Contamination; Electrophoresis; Gas chromatography; Groundwater; High performance liquid chromatography; Mass spectrometry; Microorganisms; Photodegradation; Soil pollution; Ultraviolet spectroscopy; Biotransformation; Explosives; acetonitrile; carbon dioxide; cyclonite; explosive; ground water; octahydro 1,3,5,7 tetranitro 1,3,5,7 tetrazocine; surface water; trinitrotoluene; unclassified drug; azocine derivative; cyclonite; octogen; single heterocyclic rings; triazine derivative; trinitrotoluene; capillary electrophoresis; conference paper; denitrification; gas chromatography; geographic distribution; greenhouse effect; high performance liquid chromatography; intermethod comparison; mass spectrometry; nonhuman; plant tissue; priority journal; sampling; soil analysis; soil pollution; supercritical fluid; ultraviolet radiation; water contamination; article; chemistry; mass fragmentography; methodology; plant; soil pollutant; ultraviolet spectrophotometry; water pollutant; Azocines; Chromatography, High Pressure Liquid; Electrophoresis, Capillary; Heterocyclic Compounds, 1-Ring; Mass Fragmentography; Plants; Soil Pollutants; Spectrophotometry, Ultraviolet; Support, Non-U.S. Gov't; Triazines; Trinitrotoluene; Water Pollutants, Chemical; Chromatography, High Pressure Liquid; Electrophoresis, Capillary; Gas Chromatography-Mass Spectrometry; Plants; Spectrophotometry, Ultraviolet; Water Pollutants, Chemical","Hawari, J.; Biotechnology Research Institute, National Research Council Canada, 6100 Royalmount Avenue, Montreal, Que. H4P 2R2, Canada; email: jalal.hawari@nrc.ca",Conference Paper,Final,,Scopus,2-s2.0-0037135015,,IFSMS 2004,Explosive Scene,Explosives
"Buxton T.L., Harrington P.D.B.",7003263251;35577407600;,Trace explosive detection in aqueous samples by solid-phase extraction ion mobility spectrometry (SPE-IMS),2003,Applied Spectroscopy,57,2,,223,232,,35,10.1366/000370203321535150,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037305889&doi=10.1366%2f000370203321535150&partnerID=40&md5=21f4b469ccfd0058f95fa7bfeb9058eb,"Ohio University, Ctr. Intell. Chem. Instrumentation, Dept. of Chemistry and Biochemistry, Clippinger Laboratories, Athens, OH 45701-2979, United States","Buxton, T.L., Ohio University, Ctr. Intell. Chem. Instrumentation, Dept. of Chemistry and Biochemistry, Clippinger Laboratories, Athens, OH 45701-2979, United States; Harrington, P.D.B., Ohio University, Ctr. Intell. Chem. Instrumentation, Dept. of Chemistry and Biochemistry, Clippinger Laboratories, Athens, OH 45701-2979, United States",Explosives; Ion mobility spectrometry; SIMPLISMA; Solid-phase extraction; SPE-IMS,Computer simulation; Desorption; Explosives; Extraction; Ions; Molecular dynamics; Spectrometers; Water; Ion mobility spectrometers; Software Package LabVIEW; Solid phase extraction ion mobility spectrometry; Thermal desorption; Trace explosive detection; Spectrometry,"Harrington, P.D.B.; Ohio University, Ctr. Intell. Chem. Instrumentation, Dept. of Chemistry and Biochemistry, Clippinger Laboratories, Athens, OH 45701-2979, United States",Article,Final,,Scopus,2-s2.0-0037305889,,IFSMS 2004,Explosive Scene,Explosives
Walsh M.E.,7402337946;,"Determination of nitroaromatic, nitramine, and nitrate ester explosives in soil by gas chromatography and an electron capture detector",2001,Talanta,54,3,,427,438,,179,10.1016/S0039-9140(00)00541-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035837506&doi=10.1016%2fS0039-9140%2800%2900541-5&partnerID=40&md5=796f56e26dcd97372611728b92d7a24b,"US Army Cold Regions Research and Engineering Laboratory, 72 Lyme Road, Hanover, NH 03755-1290, United States","Walsh, M.E., US Army Cold Regions Research and Engineering Laboratory, 72 Lyme Road, Hanover, NH 03755-1290, United States",Compounds; Explosives; Soil,"Aromatic compounds; Esters; Gas chromatography; Hazardous materials; Water; Ultrasonic bath; Soils; 1,3 dinitrobenzene; 2,4 dinitrotoluene; acetonitrile; amine; aromatic nitro compound; azocine derivative; cyclonite; ester derivative; explosive; glyceryl trinitrate; nitric acid derivative; nitrobenzene derivative; pentaerythrityl tetranitrate; trinitrotoluene; article; chemical analysis; electron capture detection; gas chromatography; hazardous waste; high performance liquid chromatography; soil pollution","Walsh, M.E.; US Army Cold Regions Res./Engg. Lab., 72 Lyme Road, Hanover, NH 03755-1290, United States; email: marianne@crrel.usace.army.mil",Article,Final,,Scopus,2-s2.0-0035837506,,IFSMS 2004,Explosive Scene,Explosives
"Oxley J.C., Smith J.L., Resende E., Pearce E.",7004427947;7410170253;6602606518;7202372439;,Quantification and aging of the post-blast residue of TNT landmines,2003,Journal of Forensic Sciences,48,4,,742,753,,11,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0038725943&partnerID=40&md5=ceaf9437d290e540cf383a379e44ae0e,"Chemistry Department, University of Rhode Island, Kingston, RI 02881, United States","Oxley, J.C., Chemistry Department, University of Rhode Island, Kingston, RI 02881, United States; Smith, J.L., Chemistry Department, University of Rhode Island, Kingston, RI 02881, United States; Resende, E., Chemistry Department, University of Rhode Island, Kingston, RI 02881, United States; Pearce, E., Chemistry Department, University of Rhode Island, Kingston, RI 02881, United States",Decomposition; Detection; Forensic science; Landmines; Soil; TNT,"1,3 dinitrobenzene; 2 aminodinitrotoluene; 2,4 dinitrotoluene; 4 aminodinitrotoluene; explosive; explosive related compound; metal; trinitrotoluene; unclassified drug; article; atmosphere; chemical analysis; concentration (parameters); decomposition; degradation; device; explosion; half life time; landmine; material state; military phenomena; post blast residue; priority journal; quantitative analysis; sample; sand; small scale explosivity device; soil moisture; soil structure","Oxley, J.C.; Chemistry Department, University of Rhode Island, Kingston, RI 02881, United States; email: joxley@chm.uri.edu",Article,Final,,Scopus,2-s2.0-0038725943,,IFSMS 2004,Explosive Scene,Explosives
"Jung C.M., Newcombe D.A., Crawford D.L., Crawford R.L.",7402016325;7005533193;7403085556;7402584569;,Detection and decontamination of residual energetics from ordnance and explosives scrap,2004,Biodegradation,15,1,,41,48,,5,10.1023/B:BIOD.0000009961.03463.a6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-1642501117&doi=10.1023%2fB%3aBIOD.0000009961.03463.a6&partnerID=40&md5=e7500db0e119a8bda88f87b1c71567dd,"Department of Microbiology, University of Idaho, Moscow, ID 83844-3052, United States","Jung, C.M., Department of Microbiology, University of Idaho, Moscow, ID 83844-3052, United States; Newcombe, D.A., Department of Microbiology, University of Idaho, Moscow, ID 83844-3052, United States; Crawford, D.L., Department of Microbiology, University of Idaho, Moscow, ID 83844-3052, United States; Crawford, R.L., Department of Microbiology, University of Idaho, Moscow, ID 83844-3052, United States","2,4,6-trinitrotoluene (TNT); Anaerobic bioslurry; Ion mobility spectrometer; Ordnance and explosives","Contamination; Decontamination; Explosives; Mortar; Ordnance; Soils; Spectrometers; Water; Ion mobility spectrometers; Biodegradation; explosive; trinitrotoluene; explosive; remediation; soil pollution; trinitrotoluene; water pollution; anaerobic bacterium; article; biodegradation; bioreactor; bioremediation; energy transfer; gas chromatography; high performance liquid chromatography; mass spectrometry; microbial degradation; nonhuman; soil pollution; waste management; Anaerobiosis; Bacteria, Anaerobic; Biodegradation, Environmental; Bioreactors; Environmental Pollutants; Industrial Waste; Soil Microbiology; Trinitrotoluene; Bacteria (microorganisms)","Crawford, R.L.; Department of Microbiology, University of Idaho, Moscow, ID 83844-3052, United States; email: crawford@uidaho.edu",Article,Final,,Scopus,2-s2.0-1642501117,,IFSMS 2004,Explosive Scene,Explosives
